uniprot_id	disopred3perc	iupredperc	abundance	uniprot_symbols	entrez_id	HI	OE	new_oe	drlps_drivers	drpls_clients	dr_all_phase_sep
O13564	8.77	0.87	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13565	1.6	1.6	13.2	YLR358C	NA	NA	NA	NA	NA	NA	NA
O13566	1.38	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13567	2.94	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13568	2.96	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13569	9.41	0	1.8	YPR136C P9659.7B	NA	NA	NA	NA	NA	NA	NA
O13570	13.9	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13571	1.83	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13572	2.89	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13573	0.99	0	1.26	YLR252W	NA	NA	NA	NA	NA	NA	NA
O13574	16.23	13.67	1.47	YLR255C	NA	NA	NA	NA	NA	NA	NA
O13575	16.26	0	NA	NA	YPR177C	NA	1	NA	NA	NA	NA
O13576	0	1.57	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13577	25.56	86.46	6.92	DIF1 YLR437C	NA	NA	NA	NA	NA	NA	NA
O13578	0.89	2.67	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13579	7.25	9.67	1.68	YLR379W	NA	NA	NA	NA	NA	NA	NA
O13582	8.06	16.93	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13583	3.25	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13584	0	0	1.59	VPS69 YPR087W	NA	NA	NA	NA	NA	NA	NA
O13585	23.98	18.8	40	YPR089W YPR090W	NA	NA	NA	NA	NA	NA	NA
O13586	1.98	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13587	6	8	1.11	YPR096C P9513.17C	NA	NA	NA	NA	NA	NA	NA
O13588	0.96	0	1.12	YAL069W	NA	NA	NA	NA	NA	NA	NA
O14455	1	29	1290	RPL36B RPL39B YPL249C-A YPL249BC	NA	NA	NA	NA	NA	NA	NA
O14464	53.76	3.22	27.1	RTC6 TAE4 YPL183W-A YPL183BW	NA	NA	NA	NA	NA	NA	NA
O14467	23.17	91.39	988	MBF1 SUF13 YOR298C-A	NA	NA	NA	NA	NA	NA	NA
O14468	18.42	86.84	17.8	YOR304C-A	NA	NA	NA	NA	NA	NA	NA
O42831	0.63	2.54	113	YAR075W	NA	NA	NA	NA	NA	NA	NA
O43137	12.94	0	114	YBR085C-A	NA	NA	NA	NA	NA	NA	NA
O60200	13.95	9.3	34.2	MDM35 YKL053C-A	NA	NA	NA	NA	NA	NA	NA
O74302	54.54	57.95	18.9	TY1A-DR4 YDRCTy1-3 GAG YDR261C-C	NA	NA	NA	NA	NA	NA	NA
O74700	6.89	1.14	397	TIM9 YEL020W-A YEL020BW	NA	NA	NA	NA	NA	NA	NA
O75012	10.52	8.42	4.42	MRP10 YDL045W-A	NA	NA	NA	NA	NA	NA	NA
O94084	3.15	8.07	0.33	OPI9 YLR338W	NA	NA	NA	NA	NA	NA	NA
O94085	5.46	1.63	0.209	YLR339C	NA	NA	NA	NA	NA	NA	NA
O94086	4.16	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O94143	1.96	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O94742	77.52	86.51	120	SEM1 DSH1 YDR363W-A	NA	NA	NA	NA	NA	NA	NA
P00044	1.83	6.42	129	CYC1 YJR048W J1653	NA	NA	NA	NA	NA	NA	NA
P00045	8.84	25.66	26.1	CYC7 CYP3 YEL039C	NA	NA	NA	NA	NA	NA	NA
P00127	41.49	87.75	107	QCR6 UCR6 YFR033C	NA	NA	NA	NA	NA	1	1
P00128	7.08	0.78	344	QCR7 CRO1 UCR7 YDR529C D9719.32	NA	NA	NA	NA	NA	NA	NA
P00163	0.77	0	0.024	COB CYTB Q0105	NA	NA	NA	NA	NA	NA	NA
P00175	21.48	9.13	114	CYB2 YML054C YM9958.08C	NA	NA	NA	NA	NA	NA	NA
P00330	0	0	7531	ADH1 ADC1 YOL086C O0947	NA	NA	NA	NA	NA	NA	NA
P00331	0	0.86	347	ADH2 ADR2 YMR303C YM9952.05C	NA	NA	NA	NA	NA	NA	NA
P00358	0	7.22	4220	TDH2 GPD2 YJR009C J1433	NA	NA	NA	NA	NA	NA	NA
P00359	0	6.92	13635	TDH3 GPD3 YGR192C G7576	NA	NA	NA	NA	NA	NA	NA
P00360	0	7.53	2250	TDH1 GPD1 SSS2 YJL052W J1154	NA	NA	NA	NA	NA	NA	NA
P00401	3.93	0	6.72	COX1 OXI3 Q0045	NA	NA	NA	NA	NA	NA	NA
P00410	5.17	0	26.4	COX2 OXI1 Q0250	NA	NA	NA	NA	NA	NA	NA
P00420	3.71	0.37	NA	NA	NA	NA	NA	NA	NA	NA	NA
P00424	18.95	5.22	82	COX5A YNL052W N2474 YNL2474W	NA	NA	NA	NA	NA	NA	NA
P00425	16.55	7.94	28	COX5B YIL111W	NA	NA	NA	NA	NA	NA	NA
P00427	27.02	0	309	COX6 YHR051W	NA	NA	NA	NA	NA	NA	NA
P00431	21.05	11.08	129	CCP1 CCP CPO YKR066C	NA	NA	NA	NA	NA	NA	NA
P00445	4.54	57.79	4295	SOD1 YJR104C J1968	NA	NA	NA	NA	NA	NA	NA
P00447	10.3	4.72	181	SOD2 YHR008C	NA	NA	NA	NA	NA	NA	NA
P00498	2.02	0	270	HIS1 YER055C	NA	NA	NA	NA	NA	NA	NA
P00546	0.67	0	117	CDC28 CDK1 HSL5 SRM5 YBR160W YBR1211	NA	NA	NA	NA	NA	1	1
P00549	0.2	6	14914	CDC19 PYK1 YAL038W	NA	NA	NA	NA	1	NA	1
P00560	1.2	4.08	15913	PGK1 YCR012W YCR12W	NA	NA	NA	NA	NA	NA	NA
P00572	0.46	0	25.9	CDC8 YJR057W J1715	NA	NA	NA	NA	NA	NA	NA
P00635	6.85	0.21	117	PHO5 YBR093C YBR0814	NA	NA	NA	NA	NA	NA	NA
P00724	4.32	1.31	21.3	SUC2 YIL162W	NA	NA	NA	NA	NA	NA	NA
P00729	8.27	0.37	401	PRC1 YMR297W	NA	NA	NA	NA	NA	NA	NA
P00812	3	1.8	542	CAR1 YPL111W LPH15W	NA	NA	NA	NA	NA	1	1
P00815	4.13	2.62	993	HIS4 YCL030C YCL183 YCL30C	NA	NA	NA	NA	NA	1	1
P00817	2.09	8.71	1361	IPP1 PPA PPA1 YBR011C YBR0202	NA	NA	NA	NA	NA	NA	NA
P00830	9.39	3.52	1555	ATP2 YJR121W J2041	NA	NA	NA	NA	NA	NA	NA
P00854	2.31	0	1.61	ATP6 OLI2 OLI4 PHO1 Q0085	NA	NA	NA	NA	NA	NA	NA
P00856	2.08	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
P00890	8.97	2.29	194	CIT1 GLU3 LYS6 YNR001C N2019	YNR001C	NA	1	NA	NA	NA	NA
P00899	3.55	8.48	257	TRP2 YER090W	NA	NA	NA	NA	NA	1	1
P00912	4.01	0	23.5	TRP1 YDR007W	NA	NA	NA	NA	NA	NA	NA
P00924	0.22	1.6	4967	ENO1 ENOA HSP48 YGR254W G9160	NA	NA	NA	NA	NA	NA	NA
P00925	0.22	3.43	15998	ENO2 ENOB YHR174W	NA	NA	NA	NA	NA	NA	NA
P00927	7.63	0.17	215	ILV1 YER086W	NA	NA	NA	NA	NA	NA	NA
P00931	4.95	1.41	795	TRP5 YGL026C	NA	NA	NA	NA	NA	NA	NA
P00937	1.85	0.41	334	TRP3 YKL211C	NA	NA	NA	NA	NA	NA	NA
P00942	0.4	0	3446	TPI1 YDR050C YD9609.05C	NA	NA	NA	NA	NA	1	1
P00950	0.4	4.45	7342	GPM1 GPM YKL152C YKL607	NA	NA	NA	NA	NA	1	1
P00958	6.52	0.79	969	MES1 YGR264C	NA	NA	NA	NA	NA	1	1
P01094	51.47	100	10.1	PAI3 YMR174C YM8010.04C	NA	NA	NA	NA	NA	NA	NA
P01097	43.52	62.35	35	INH1 YDL181W D1305	NA	NA	NA	NA	NA	NA	NA
P01098	43.02	60.46	32.9	STF1 AIS2 YDL130W-A YDL130BW	NA	NA	NA	NA	NA	NA	NA
P01119	43.68	39.15	26.5	RAS1 YOR101W YOR3205W	NA	NA	NA	NA	NA	NA	NA
P01120	45.34	46.27	270	RAS2 ASC1 CTN5 GLC5 YNL098C N2198	NA	NA	NA	NA	NA	NA	NA
P01123	15.53	10.67	76.7	YPT1 YP2 YFL038C	YFL038C	NA	1	NA	NA	NA	NA
P01149	14.54	3.63	0.666	MF(ALPHA)1 MF-ALPHA-1 MFAL1 YPL187W	NA	NA	NA	NA	NA	NA	NA
P02293	29.77	35.87	1034	HTB1 H2B1 SPT12 YDR224C YD9934.09C	YDR224C	NA	1	NA	NA	NA	NA
P02294	29.77	32.82	3666	HTB2 H2B2 YBL002W YBL0104	NA	NA	NA	NA	NA	NA	NA
P02309	19.41	16.5	5290	HHF1 YBR009C YBR0122; HHF2 YNL030W N2752	YBR009C	NA	1	NA	NA	NA	NA
P02381	4.02	9.04	14.4	VAR1 Q0140	NA	NA	NA	NA	NA	NA	NA
P02400	39.09	32.72	5346	RPP2B L12EIA RPL45 RPLA4 YDR382W	YDR382W	1	NA	1	NA	NA	NA
P02406	26.84	28.18	2673	RPL28 CYH2 YGL103W	NA	NA	NA	NA	NA	NA	NA
P02407	20.58	7.35	1881	RPS17A RP51A YML024W	YML024W	1	NA	NA	NA	NA	NA
P02557	14.87	9.4	117	TUB2 YFL037W	NA	NA	NA	NA	NA	1	1
P02829	13.25	15.93	4197	HSP82 HSP90 YPL240C	NA	NA	NA	NA	NA	NA	NA
P02992	7.78	7.32	530	TUF1 TUFM YOR187W	NA	NA	NA	NA	NA	1	1
P02994	4.36	10.69	7233	TEF1 YPR080W P9513.7; TEF2 YBR118W YBR0913	NA	NA	NA	NA	NA	NA	NA
P03069	86.83	47.33	7.81	GCN4 AAS101 AAS3 ARG9 YEL009C	YEL009C	NA	1	NA	NA	NA	NA
P03870	0.7	1.65	NA	NA	NA	NA	NA	NA	NA	NA	NA
P03871	9.11	7.77	NA	NA	NA	NA	NA	NA	NA	NA	NA
P03872	23.98	33.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
P03873	0.7	0	0.006	BI2 Q0110	NA	NA	NA	NA	NA	NA	NA
P03874	2.85	0.47	17.1	CBP2 YHL038C	NA	NA	NA	NA	NA	NA	NA
P03875	6.47	7.19	0.007	AI1 Q0050	NA	NA	NA	NA	NA	NA	NA
P03876	4.09	2.22	0.01	AI2 Q0055	NA	NA	NA	NA	NA	NA	NA
P03877	0.24	0.72	1.09	AI3 ENS3 I-SCEIII Q0060	NA	NA	NA	NA	NA	NA	NA
P03878	0.35	0.53	0.428	AI4 ENS2 I-SCEII Q0065	NA	NA	NA	NA	NA	NA	NA
P03879	0.62	0.47	0.009	BI4 SCBI4 Q0120	NA	NA	NA	NA	NA	NA	NA
P03881	4.66	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
P03882	8.51	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
P03962	1.12	0.74	310	URA3 YEL021W	NA	NA	NA	NA	NA	1	1
P03965	2.05	1.43	1314	CPA2 YJR109C J2002	NA	NA	NA	NA	NA	NA	NA
P04037	32.9	16.77	203	COX4 YGL187C G1362	NA	NA	NA	NA	NA	NA	NA
P04039	30.76	0	39.7	COX8 YLR395C L8084.14	NA	NA	NA	NA	NA	NA	NA
P04046	5.88	0.78	274	ADE4 YMR300C YM9952.02C	NA	NA	NA	NA	NA	NA	NA
P04050	29.71	19.79	260	RPO21 RPB1 RPB220 SUA8 YDL140C D2150	NA	NA	NA	NA	1	NA	1
P04051	13.76	3.69	115	RPO31 RPC1 RPC160 YOR116C O3254 YOR3254C	NA	NA	NA	NA	NA	NA	NA
P04076	5.18	0.86	367	ARG4 YHR018C	NA	NA	NA	NA	NA	1	1
P04147	27.72	30.32	2652	PAB1 YER165W	YER165W	1	NA	NA	1	NA	1
P04161	0	0	154	ADE8 YDR408C D9509.26	NA	NA	NA	NA	NA	NA	NA
P04173	0.82	2.74	16.3	LEU2 YCL018W YCL18W	NA	NA	NA	NA	NA	NA	NA
P04385	2.08	0	3.32	GAL1 YBR020W YBR0302	NA	NA	NA	NA	NA	NA	NA
P04386	42.67	15.89	3.57	GAL4 YPL248C	NA	NA	NA	NA	NA	NA	NA
P04387	3.9	1.6	7.41	GAL80 YML051W YM9827.01 YM9958.12	YML051W	NA	1	NA	NA	NA	NA
P04397	1.43	0.28	2.15	GAL10 YBR019C YBR0301	NA	NA	NA	NA	NA	NA	NA
P04449	23.87	67.09	3414	RPL24A RP29 RPL30A YGL031C	YGL031C	1	1	1	NA	NA	NA
P04456	2.81	2.11	1412	RPL25 YOL127W	YOL127W	1	NA	NA	NA	NA	NA
P04650	1.96	98.03	1166	RPL39 RPL46 SPB2 YJL189W J0360	YJL189W	1	NA	NA	NA	NA	1
P04710	2.26	1.61	3.92	AAC1 YMR056C YM9796.09C	NA	NA	NA	NA	NA	NA	NA
P04786	29.64	23.4	89.2	TOP1 MAK1 YOL006C	NA	NA	NA	NA	NA	1	1
P04801	6.67	7.08	842	THS1 YIL078W	NA	NA	NA	NA	NA	1	1
P04802	12.38	17.41	637	DPS1 APS APS1 YLL018C L1295	NA	NA	NA	NA	NA	NA	NA
P04803	13.72	3.43	12	MSW1 MSW YDR268W D9954.7	NA	NA	NA	NA	NA	NA	NA
P04806	4.32	8.24	452	HXK1 HKA YFR053C	NA	NA	NA	NA	NA	NA	NA
P04807	4.73	9.87	3086	HXK2 HEX1 HKB YGL253W NRB486	NA	NA	NA	NA	NA	NA	NA
