"uniprot_id"	"disopred_percent_bin"	"iupred_percent_bin"
"185"	"Q8TBB0"	"mid"	"low"
"186"	"P57082"	"high"	"high"
"187"	"Q9UL17"	"high"	"high"
"188"	"Q9UKZ4"	"mid"	"mid"
"189"	"Q9Y5M6"	"low"	"low"
"190"	"Q8WWU5"	"mid"	"mid"
"191"	"P08582"	"low"	"low"
"192"	"Q96NL1"	"high"	"high"
"193"	"Q5JTD0"	"high"	"high"
"194"	"Q9BZD7"	"high"	"high"
"195"	"P0DTU4"	NA	NA
"196"	"O94811"	"mid"	"high"
"197"	"P0CI26"	"low"	"low"
"198"	"Q8N2E6"	"mid"	"mid"
"199"	"Q9BZY9"	"low"	"mid"
"200"	"Q12933"	"low"	"low"
"201"	"Q6ZTA4"	"mid"	"mid"
"202"	"Q6AZZ1"	"low"	"low"
"203"	"Q9C040"	"low"	"mid"
"204"	"P31314"	"high"	"high"
"205"	"Q9Y275"	"high"	"mid"
"206"	"Q5BJD5"	"mid"	"mid"
"207"	"Q8NCS4"	"mid"	"low"
"208"	"Q8N661"	"mid"	"low"
"209"	"O43763"	"high"	"high"
"210"	"Q9NPI0"	"low"	"low"
"211"	"Q8N616"	"low"	"low"
"212"	"Q6PF06"	"mid"	"mid"
"213"	"Q8WUB8"	"high"	"high"
"214"	"Q86T03"	"mid"	"high"
"215"	"Q86SH4"	"low"	"low"
"216"	"P13727"	"high"	"mid"
"217"	"Q86WR7"	"high"	"high"
"218"	"P23942"	"mid"	"mid"
"219"	"Q9UBK2"	"high"	"high"
"220"	"P48634"	"high"	"high"
"221"	"Q96QH2"	"high"	"high"
"222"	"Q5JSZ5"	"high"	"high"
"223"	"Q96MI6"	"low"	"low"
"224"	"P48651"	"mid"	"mid"
"225"	"P49810"	"high"	"mid"
"226"	"P28827"	"mid"	"mid"
"227"	"P15151"	"mid"	"mid"
"228"	"Q92878"	"low"	"high"
"229"	"P35243"	"low"	"low"
"230"	"Q9BWF3"	"high"	"mid"
"231"	"P61026"	"mid"	"mid"
"232"	"Q4ADV7"	"mid"	"mid"
"233"	"P40938"	"low"	"low"
"234"	"Q8IUC4"	"mid"	"mid"
"235"	"Q9BRR9"	"high"	"high"
"236"	"Q9Y644"	"mid"	"mid"
"237"	"P00797"	"low"	"low"
"238"	"P48380"	"high"	"mid"
"239"	"Q5VT52"	"high"	"high"
"240"	"Q6ZR62"	"high"	"high"
"241"	"L0R6Q1"	"low"	"low"
"242"	"P0CK97"	"high"	"mid"
"243"	"P06703"	"low"	"low"
"244"	"Q9UHW9"	"mid"	"mid"
"245"	"P09661"	"mid"	"high"
"246"	"Q9Y267"	"low"	"low"
"247"	"Q8N4F4"	"low"	"low"
"248"	"Q9Y3D9"	"mid"	"high"
"249"	"Q9BZJ4"	"low"	"low"
"250"	"Q13433"	"high"	"high"
"251"	"Q9BYL1"	"high"	"mid"
"252"	"P82675"	"mid"	"mid"
"253"	"Q96LT4"	"mid"	"low"
"254"	"Q9BY50"	"low"	"low"
"255"	"Q9NQW1"	"high"	"high"
"256"	"Q9UN30"	"high"	"mid"
"257"	"Q15437"	"low"	"low"
"258"	"P50454"	"low"	"low"
"259"	"Q93073"	"high"	"high"
"260"	"Q9NZV5"	"mid"	"mid"
"261"	"O15127"	"high"	"high"
"262"	"P0DME0"	"high"	"high"
"263"	"Q01105"	"high"	"high"
"264"	"O75880"	"high"	"mid"
"265"	"A0A494C0Z2"	NA	NA
"266"	"Q9HD40"	"low"	"low"
"267"	"Q969T3"	"mid"	"high"
"268"	"O43290"	"high"	"high"
"269"	"Q53GS9"	"mid"	"mid"
"270"	"Q9UNH6"	"low"	"low"
"271"	"Q92925"	"high"	"high"
"272"	"Q5SXM2"	"high"	"high"
"273"	"P0C7P3"	"low"	"low"
"274"	"Q9UJ37"	"mid"	"low"
"275"	"Q86VZ5"	"mid"	"low"
"276"	"Q13342"	"high"	"high"
"277"	"P48764"	"high"	"mid"
"278"	"Q9Y2E8"	"mid"	"mid"
"279"	"O95470"	"low"	"low"
"280"	"Q08648"	"high"	"high"
"281"	"O15266"	"high"	"high"
"282"	"Q96HU1"	"mid"	"low"
"283"	"Q9NUL5"	"low"	"high"
"284"	"Q8N5H7"	"high"	"high"
"285"	"Q96Q15"	"high"	"mid"
"286"	"K7EJ46"	"mid"	"mid"
"287"	"Q8N412"	"high"	"mid"
"288"	"Q96SB8"	"low"	"mid"
"289"	"Q9BRV3"	"low"	"low"
"290"	"P49888"	"low"	"low"
"291"	"O00338"	"low"	"low"
"292"	"Q9ULZ2"	"mid"	"mid"
"293"	"Q96FJ0"	"mid"	"mid"
"294"	"Q92537"	"high"	"high"
"295"	"P46977"	"low"	"low"
"296"	"Q96DR4"	"low"	"low"
"297"	"O95793"	"high"	"high"
"298"	"O15400"	"mid"	"high"
"299"	"P16949"	"mid"	"high"
"300"	"Q8IUH8"	"mid"	"high"
"301"	"Q96BD6"	"low"	"low"
"302"	"A7MD48"	"high"	"high"
"303"	"O94901"	"high"	"mid"
"304"	"Q9GZT4"	"low"	"low"
"305"	"Q16559"	"high"	"high"
"306"	"Q8TBP0"	"high"	"high"
"307"	"P19532"	"high"	"high"
"308"	"Q9GZN2"	"high"	"high"
"309"	"Q8IYQ7"	"low"	"low"
"310"	"A6NMZ5"	"low"	"low"
"311"	"Q8NGJ6"	"low"	"low"
"312"	"Q8NH90"	"low"	"low"
"313"	"Q8N2R0"	"low"	"mid"
"314"	"Q99983"	"mid"	"mid"
"315"	"Q9BVI0"	"high"	"high"
"316"	"P27918"	"mid"	"low"
"317"	"Q9NWT1"	"mid"	"mid"
"318"	"P50897"	"low"	"low"
"319"	"O75400"	"high"	"high"
"320"	"P78395"	"low"	"low"
"321"	"P28070"	"low"	"low"
"322"	"Q8WY54"	"high"	"high"
"323"	"Q9Y520"	"high"	"high"
"324"	"Q7Z4L9"	"low"	"low"
"325"	"Q9NQW5"	"high"	"high"
"326"	"P26022"	"mid"	"mid"
"327"	"Q3KNS1"	"mid"	"mid"
"328"	"Q9UL46"	"low"	"mid"
"329"	"Q15008"	"low"	"mid"
"330"	"Q96D15"	"mid"	"high"
"331"	"Q9H4I0"	"high"	"mid"
"332"	"Q8IY67"	"high"	"high"
"333"	"P18754"	"low"	"mid"
"334"	"Q15283"	"mid"	"mid"
"335"	"Q9NS23"	"mid"	"mid"
"336"	"Q14644"	"low"	"mid"
"337"	"Q96JH8"	"high"	"mid"
"338"	"A4D1S5"	"mid"	"low"
"339"	"Q70E73"	"high"	"high"
"340"	"P51157"	"mid"	"mid"
"341"	"Q96QF0"	"high"	"mid"
"342"	"O94762"	"high"	"high"
"343"	"Q15286"	"mid"	"low"
"344"	"P57735"	"mid"	"mid"
"345"	"O75783"	"mid"	"mid"
"346"	"Q7L804"	"high"	"high"
"347"	"Q06141"	"mid"	"mid"
"348"	"Q15493"	"low"	"low"
"349"	"Q8N392"	"high"	"high"
"350"	"Q8NC24"	"high"	"high"
"351"	"Q96EH5"	"low"	"high"
"352"	"Q99729"	"high"	"high"
"353"	"Q8WVD3"	"mid"	"mid"
"354"	"P34096"	"mid"	"low"
"355"	"O60930"	"mid"	"high"
"356"	"Q96A37"	"mid"	"low"
"357"	"Q5VTB9"	"high"	"high"
"358"	"P52434"	"low"	"mid"
"359"	"P09001"	"low"	"mid"
"360"	"Q7Z7H8"	"mid"	"mid"
"361"	"Q96E11"	"mid"	"mid"
"362"	"Q9NQL2"	"mid"	"mid"
"363"	"Q9NS64"	"mid"	"low"
"364"	"P25398"	"low"	"low"
"365"	"P08865"	"low"	"high"
"366"	"Q9NQQ7"	"mid"	"low"
"367"	"Q8IWB4"	"high"	"high"
"368"	"O95197"	"high"	"high"
"369"	"Q9BZD2"	"mid"	"low"
"370"	"Q8WXD2"	"high"	"high"
"371"	"Q8N228"	"high"	"high"
"372"	"Q9H4B6"	"high"	"high"
"373"	"P48029"	"mid"	"low"
"374"	"P23975"	"low"	"low"
"375"	"P63302"	"low"	"low"
"376"	"Q13275"	"mid"	"mid"
"377"	"Q86VE9"	"mid"	"low"
"378"	"Q13424"	"mid"	"high"
"379"	"Q15005"	"mid"	"low"
"380"	"O75934"	"low"	"mid"
"381"	"Q8N0X7"	"high"	"high"
"382"	"Q6ZMC9"	"mid"	"mid"
"383"	"P0DPA3"	"mid"	"high"
"384"	"O43166"	"high"	"high"
"385"	"Q9Y2K2"	"high"	"high"
"386"	"Q3KNW5"	"mid"	"mid"
"387"	"Q9H2Y9"	"high"	"mid"
"388"	"Q8N4H0"	"high"	"high"
"389"	"P0DP57"	"mid"	"low"
"390"	"Q8N0Z3"	"high"	"high"
"391"	"Q6XE38"	"mid"	"low"
"392"	"Q99962"	"mid"	"high"
"393"	"Q15465"	"mid"	"mid"
"394"	"A4D0T7"	"high"	"low"
"395"	"Q9NP50"	"high"	"high"
"396"	"Q9Y3P8"	"high"	"high"
"397"	"Q9UHP9"	"mid"	"high"
"398"	"P49458"	"low"	"low"
"399"	"Q6ZVD7"	"high"	"high"
"400"	"Q7RTT6"	"high"	"high"
"401"	"Q7RTT4"	"high"	"high"
"402"	"Q8NBB2"	"high"	"high"
"403"	"Q8TBX8"	"mid"	"mid"
"404"	"O14603"	"low"	"low"
"405"	"Q9Y244"	"mid"	"low"
"406"	"Q96M27"	"high"	"high"
"407"	"Q6UWB4"	"mid"	"mid"
"408"	"A6NGN4"	"low"	"low"
"409"	"Q96NZ9"	"mid"	"high"
"410"	"Q9BXM0"	"high"	"high"
"411"	"Q9H4Q4"	"mid"	"mid"
"412"	"Q96EY7"	"mid"	"mid"
"413"	"Q9NRF8"	"low"	"low"
"414"	"O95825"	"low"	"low"
"415"	"Q5T6V5"	"low"	"low"
"416"	"Q8NBN7"	"low"	"mid"
"417"	"Q9BX46"	"high"	"low"
"418"	"O14966"	"mid"	"low"
"419"	"Q8IZ40"	"high"	"high"
"420"	"P13631"	"high"	"mid"
"421"	"Q9H6Z4"	"high"	"high"
"422"	"Q99969"	"mid"	"low"
"423"	"B2RC85"	"mid"	"mid"
"424"	"Q9Y3L5"	"low"	"low"
"425"	"Q92963"	"mid"	"low"
"426"	"P84098"	"low"	"high"
"427"	"P10301"	"mid"	"mid"
"428"	"Q9HB90"	"mid"	"mid"
"429"	"Q8WXG1"	"mid"	"mid"
"430"	"P62851"	"high"	"high"
"431"	"Q9Y3I0"	"low"	"low"
"432"	"Q7RTT9"	"mid"	"low"
"433"	"Q9H1N7"	"mid"	"low"
"434"	"Q2M3R5"	"mid"	"mid"
"435"	"A6NKG5"	"mid"	"mid"
"436"	"Q99500"	"mid"	"mid"
"437"	"Q5M8T2"	"mid"	"mid"
"438"	"P0DSO2"	NA	NA
"439"	"Q15020"	"high"	"high"
"440"	"Q8NE22"	"low"	"low"
"441"	"Q9H4I8"	"low"	"low"
"442"	"P84101"	"high"	"high"
"443"	"P0DUD1"	NA	NA
"444"	"Q9UBP0"	"high"	"high"
"445"	"Q5MJ70"	"high"	"mid"
"446"	"Q92543"	"high"	"high"
"447"	"O43761"	"mid"	"mid"
"448"	"Q5VWJ9"	"mid"	"mid"
"449"	"Q9NYZ4"	"mid"	"high"
"450"	"P0CW21"	"low"	"low"
"451"	"P35237"	"low"	"low"
"452"	"Q9UM82"	"high"	"high"
"453"	"Q5VX52"	"high"	"mid"
"454"	"P58511"	"mid"	"high"
"455"	"Q92673"	"low"	"low"
"456"	"Q8TCY0"	"low"	"low"
"457"	"Q2TAY7"	"low"	"low"
"458"	"Q9NS25"	"high"	"high"
"459"	"Q6STE5"	"mid"	"high"
"460"	"Q9H7B4"	"low"	"low"
"461"	"Q99961"	"mid"	"high"
"462"	"Q9BXN6"	"high"	"high"
"463"	"Q9Y657"	"mid"	"high"
"464"	"O43556"	"mid"	"mid"
"465"	"Q9H0F6"	"high"	"high"
"466"	"Q9H3U7"	"mid"	"high"
"467"	"O14796"	"low"	"low"
"468"	"O60224"	"high"	"high"
"469"	"P0DMM9"	"low"	"mid"
"470"	"Q9H6E5"	"high"	"high"
"471"	"Q5TH74"	"high"	"high"
"472"	"O75044"	"high"	"high"
"473"	"Q05952"	"high"	"high"
"474"	"O60279"	"high"	"high"
"475"	"O95772"	"mid"	"mid"
"476"	"Q9NY15"	"mid"	"low"
"477"	"Q969W0"	"low"	"low"
"478"	"P09486"	"mid"	"mid"
"479"	"Q5SRH9"	"low"	"low"
"480"	"Q92734"	"high"	"high"
"481"	"Q10587"	"high"	"high"
"482"	"Q3LXA3"	"low"	"mid"
"483"	"P25325"	"low"	"mid"
"484"	"Q969E4"	"high"	"high"
"485"	"Q9NXF1"	"mid"	"mid"
"486"	"Q32NB8"	"mid"	"low"
"487"	"Q8N328"	"mid"	"mid"
"488"	"O00541"	"high"	"high"
"489"	"Q7Z4N8"	"low"	"low"
"490"	"Q9UIW2"	"mid"	"low"
"491"	"Q9HAT8"	"low"	"mid"
"492"	"Q2VWP7"	"mid"	"mid"
"493"	"Q15435"	"mid"	"mid"
"494"	"Q7Z3Z4"	"mid"	"low"
"495"	"P62266"	"mid"	"mid"
"496"	"P15880"	"mid"	"mid"
"497"	"Q86WA9"	"low"	"low"
"498"	"Q5H9E4"	"low"	"mid"
"499"	"P50443"	"mid"	"low"
"500"	"Q9H1X1"	"low"	"low"
"501"	"P0C7Q5"	"mid"	"mid"
"502"	"A6NKX4"	"low"	"low"
"503"	"Q9Y6M7"	"high"	"mid"
"504"	"Q8IVJ1"	"mid"	"mid"
"505"	"Q86UD0"	"high"	"high"
"506"	"A0A286YEY9"	NA	NA
"507"	"P47872"	"mid"	"low"
"508"	"Q9BRL7"	"low"	"low"
"509"	"Q6NUK1"	"low"	"low"
"510"	"Q96BY9"	"high"	"mid"
"511"	"Q9BR46"	"low"	"high"
"512"	"Q99470"	"mid"	"mid"
"513"	"P31431"	"high"	"high"
"514"	"Q86XK3"	"high"	"high"
"515"	"O43236"	"high"	"high"
"516"	"P62341"	"mid"	"low"
"517"	"O95473"	"mid"	"low"
"518"	"Q9H156"	"mid"	"mid"
"519"	"Q86XE0"	"mid"	"mid"
"520"	"A6NIY4"	"high"	"high"
"521"	"Q96GM5"	"high"	"high"
"522"	"Q9UQ90"	"mid"	"mid"
"523"	"P30626"	"mid"	"low"
"524"	"Q969X2"	"mid"	"mid"
"525"	"Q92186"	"mid"	"low"
"526"	"Q96AH0"	"high"	"high"
"527"	"O95391"	"high"	"high"
"528"	"P35716"	"high"	"high"
"529"	"Q5FBB7"	"high"	"high"
"530"	"O95416"	"high"	"high"
"531"	"Q14493"	"high"	"high"
"532"	"Q9BQ49"	"low"	"low"
"533"	"Q8NDV3"	"mid"	"mid"
"534"	"Q86T20"	"low"	"low"
"535"	"Q6ZWJ1"	"high"	"mid"
"536"	"Q5HYK7"	"high"	"high"
"537"	"Q8N801"	"mid"	"high"
"538"	"O94864"	"high"	"high"
"539"	"Q4G0T1"	"low"	"low"
"540"	"Q9UJ98"	"mid"	"high"
"541"	"Q8WWQ8"	"mid"	"low"
"542"	"O43597"	"high"	"high"
"543"	"O43752"	"mid"	"mid"
"544"	"P61266"	"mid"	"high"
"545"	"Q5W111"	"low"	"mid"
"546"	"Q7Z572"	"high"	"high"
"547"	"Q9H741"	"low"	"low"
"548"	"Q8N0S2"	"high"	"high"
"549"	"P0DPH7"	NA	NA
"550"	"Q9Y3Q8"	"high"	"high"
"551"	"Q6XYQ8"	"high"	"mid"
"552"	"B9A6J9"	"high"	"high"
"553"	"A6NJY4"	"low"	"low"
"554"	"Q9BSH4"	"low"	"mid"
"555"	"Q6IPX1"	"high"	"high"
"556"	"Q16143"	"high"	"high"
"557"	"Q9NVR7"	"mid"	"low"
"558"	"Q9UP52"	"mid"	"mid"
"559"	"Q04206"	"high"	"high"
"560"	"Q8WVM0"	"low"	"low"
"561"	"A0A1B0GUV7"	"mid"	"high"
"562"	"Q9Y2L5"	"high"	"mid"
"563"	"Q9P0U1"	"low"	"low"
"564"	"Q96HE8"	"mid"	"mid"
"565"	"O14668"	"high"	"high"
"566"	"Q5JU69"	"low"	"low"
"567"	"Q9Y3C4"	"low"	"low"
"568"	"Q8WW62"	"mid"	"mid"
"569"	"O15016"	"high"	"high"
"570"	"Q8N4H5"	"low"	"low"
"571"	"Q96A61"	"mid"	"high"
"572"	"O96008"	"mid"	"mid"
"573"	"P0DTU3"	NA	NA
"574"	"P01374"	"high"	"mid"
"575"	"Q8WVP5"	"low"	"low"
"576"	"Q96JJ7"	"mid"	"mid"
"577"	"P0DI81"	"low"	"low"
"578"	"Q6NXR4"	"low"	"mid"
"579"	"O43711"	"high"	"high"
"580"	"Q8TBM7"	"low"	"low"
"581"	"Q9Y4R7"	"high"	"mid"
"582"	"A0A0A0MS03"	NA	NA
"583"	"A0A539"	"low"	"low"
"584"	"Q7RTX1"	"low"	"low"
"585"	"Q8NGF3"	"low"	"low"
"586"	"O60422"	"high"	"high"
"587"	"Q9NPF4"	"low"	"low"
"588"	"Q8NGS8"	"low"	"low"
"589"	"Q9NRC9"	"mid"	"low"
"590"	"Q8NGE3"	"low"	"low"
"591"	"Q8NGT2"	"low"	"low"
"592"	"Q5TZ20"	"low"	"low"
"593"	"Q8NGR8"	"low"	"low"
"594"	"Q96R84"	"low"	"low"
"595"	"Q8NGB6"	"low"	"low"
"596"	"A3KFT3"	"low"	"low"
"597"	"Q8N138"	"low"	"low"
"598"	"Q8NGG7"	"low"	"low"
"599"	"Q15154"	"high"	"high"
"600"	"P16499"	"low"	"mid"
"601"	"Q9BWT3"	"high"	"high"
"602"	"Q9NP74"	"high"	"high"
"603"	"Q96JQ0"	"mid"	"high"
"604"	"Q5JUK9"	"high"	"high"
"605"	"Q15070"	"high"	"mid"
"606"	"Q6TGC4"	"low"	"low"
"607"	"P0DJD7"	"low"	"low"
"608"	"Q92696"	"low"	"low"
"609"	"Q9NRX4"	"low"	"low"
"610"	"Q9C0D0"	"high"	"high"
"611"	"P55347"	"high"	"high"
"612"	"Q9UIG5"	"mid"	"high"
"613"	"Q5VTL8"	"high"	"high"
"614"	"Q8N3E9"	"mid"	"mid"
"615"	"Q6P2Q9"	"low"	"low"
"616"	"P62945"	"mid"	"high"
"617"	"Q96EQ8"	"mid"	"low"
"618"	"Q9Y508"	"low"	"low"
"619"	"P04843"	"low"	"low"
"620"	"Q8IYW5"	"high"	"high"
"621"	"Q9GZS1"	"mid"	"mid"
"622"	"P19388"	"low"	"mid"
"623"	"Q13084"	"low"	"mid"
"624"	"P08922"	"mid"	"low"
"625"	"Q9NYK5"	"mid"	"low"
"626"	"Q92736"	"high"	"mid"
"627"	"Q969S0"	"mid"	"low"
"628"	"Q495N2"	"low"	"low"
"629"	"Q8IXU6"	"mid"	"low"
"630"	"Q8TBE7"	"mid"	"low"
"631"	"P82912"	"mid"	"mid"
"632"	"Q86VW1"	"low"	"low"
"633"	"Q9H015"	"low"	"low"
"634"	"Q9BSK2"	"low"	"low"
"635"	"P08579"	"mid"	"high"
"636"	"Q96EL2"	"mid"	"low"
"637"	"Q13950"	"high"	"high"
"638"	"P51398"	"mid"	"mid"
"639"	"Q96C34"	"high"	"high"
"640"	"Q86VL8"	"mid"	"low"
"641"	"Q9NTJ5"	"low"	"low"
"642"	"Q8TE82"	"mid"	"mid"
"643"	"O75711"	"mid"	"low"
"644"	"Q9UJQ4"	"high"	"high"
"645"	"Q15436"	"low"	"low"
"646"	"Q12765"	"low"	"mid"
"647"	"A0A286YFG1"	NA	NA
"648"	"Q9HB31"	"high"	"high"
"649"	"Q9C0A6"	"high"	"high"
"650"	"Q8WYJ6"	"mid"	"mid"
"651"	"O75533"	"high"	"high"
"652"	"Q9BWJ5"	"low"	"mid"
"653"	"Q96KW9"	"high"	"high"
"654"	"Q15772"	"high"	"high"
"655"	"Q13530"	"low"	"mid"
"656"	"P0DTA3"	NA	NA
"657"	"Q8NBT2"	"low"	"mid"
"658"	"Q9UMY4"	"mid"	"mid"
"659"	"Q12824"	"mid"	"mid"
