uniprot_id	disopred3perc	iupredperc	abundance	uniprot_symbols	entrez_id	is_HI	oncogene	ps_high_conf	drlps_drivers	dr_all_phase_sep	drpls_clients
A0A1B0GWK0	12.68	11.19	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GX68	4.34	2.6	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1W2PPG7	8.69	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1W2PR48	17.23	28.57	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A286YF58	42.07	39.22	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A539	3.5	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A576	2.63	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A577	0.87	0.87	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A578	1.75	0.87	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A597	1.75	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A599	2.63	1.75	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A5B9	7.3	4.49	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0AUZ9	80.14	19.85	0.244	KANSL1L C2orf67	NA	NA	NA	NA	NA	NA	NA
A0AV02	24.64	8.4	0.145	SLC12A8 CCC9	NA	NA	NA	NA	NA	NA	NA
A0AV96	22.09	11.29	NA	NA	NA	NA	NA	NA	NA	1	1
A0AVF1	4.51	1.44	0.741	TTC26 IFT56	NA	NA	NA	NA	NA	NA	NA
A0AVI2	20.27	3.35	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0AVI4	2.76	0.27	0.102	TMEM129	NA	NA	NA	NA	NA	NA	NA
A0AVK6	78.66	50.63	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0AVT1	7.98	3.89	63.7	UBA6 MOP4 UBE1L2	NA	NA	NA	NA	NA	NA	NA
A0FGR8	25.4	35.28	19.3	ESYT2 FAM62B KIAA1228	NA	NA	NA	NA	NA	1	1
A0FGR9	29.9	13.99	0.081	ESYT3 FAM62C	NA	NA	NA	NA	NA	1	1
A0JD32	14.65	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0JLT2	50.81	85.24	3.61	MED19 LCMR1	NA	NA	NA	NA	NA	NA	NA
A0JNW5	44.12	20.08	0.795	UHRF1BP1L KIAA0701 SHIP164	NA	NA	NA	NA	NA	NA	NA
A0JP26	35.97	35.45	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0M8Q6	0.94	43.39	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0MZ66	52.93	64.65	14.6	SHTN1 KIAA1598	NA	NA	NA	NA	NA	1	1
A0PG75	17.34	11.43	0.003	PLSCR5	NA	NA	NA	NA	NA	NA	NA
A0PJE2	1.89	11.98	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0PJK1	4.36	0	0.194	SLC5A10 SGLT5	NA	NA	NA	NA	NA	NA	NA
A0PJW6	10.89	0	1.97	TMEM223	NA	NA	NA	NA	NA	NA	NA
A0PJW8	18.69	52.33	0.526	DAPL1 EEDA	NA	NA	NA	NA	NA	NA	NA
A0PJX0	5.4	0	0.315	CIB4	NA	NA	NA	NA	NA	NA	NA
A0PJX2	16.27	18.6	0.072	TLDC2	NA	NA	NA	NA	NA	NA	NA
A0PJX4	52.94	13.44	2.05	SHISA3	NA	NA	NA	NA	NA	NA	NA
A0PJX8	9.62	6.12	0.063	TMEM82	NA	NA	NA	NA	NA	NA	NA
A0PJY2	22.1	22.73	0.453	FEZF1 FEZ ZNF312B	NA	NA	NA	NA	NA	NA	NA
A0PJZ0	10.9	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0PJZ3	24.6	13.54	0.295	GXYLT2 GLT8D4	NA	NA	NA	NA	NA	NA	NA
A0PK00	3.53	1.17	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0PK05	17.09	23.63	0.009	TMEM72 C10orf127 KSP37	NA	NA	NA	NA	NA	NA	NA
A0PK11	15.08	0	0	CLRN2	NA	NA	NA	NA	NA	NA	NA
A0ZSE6	9.73	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1A4F0	32.59	0	0	SLC66A1L C3orf55 PQLC2L	NA	NA	NA	NA	NA	NA	NA
A1A4G5	35.95	66.29	0.495	LNP1 NP3	NA	NA	NA	NA	NA	NA	NA
A1A4S6	27.86	25.06	1.45	ARHGAP10 GRAF2	NA	NA	NA	NA	NA	NA	NA
A1A4V9	33.53	29.9	0.295	CCDC189 C16orf93	NA	NA	NA	NA	NA	NA	NA
A1A4Y4	0.55	11.04	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1A519	62.42	64.84	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1A580	3.07	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1A5B4	9.33	2.94	0.048	ANO9 PIG5 TMEM16J TP53I5	NA	NA	NA	NA	NA	NA	NA
A1A5C7	20.84	15.3	0.216	SLC22A23 C6orf85	NA	NA	NA	NA	NA	NA	NA
A1A5D9	36.02	69.29	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1E959	26.88	40.14	0.128	ODAM APIN	NA	NA	NA	NA	NA	NA	NA
A1IGU5	11.11	14.81	0.584	ARHGEF37	NA	NA	NA	NA	NA	NA	NA
A1KXE4	100	34.87	NA	NA	NA	NA	NA	NA	NA	1	1
A1KZ92	8.27	9.91	0.069	PXDNL VPO2	NA	NA	NA	NA	NA	1	1
A1L020	41.34	39.8	1.14	MEX3A RKHD4	NA	NA	NA	NA	NA	1	1
A1L0T0	5.22	1.26	64.6	ILVBL AHAS HACL2	NA	NA	NA	NA	NA	NA	NA
A1L157	3.16	0	0.084	TSPAN11	NA	NA	NA	NA	NA	NA	NA
A1L162	52.56	82.69	0	ERICH2	NA	NA	NA	NA	NA	NA	NA
A1L167	0.62	0	0.072	UBE2QL1	NA	NA	NA	NA	NA	NA	NA
A1L168	34.42	54.91	0.34	C20orf202	NA	NA	NA	NA	NA	NA	NA
A1L170	68.75	91.91	3.09	C1orf226	NA	NA	NA	NA	NA	NA	NA
A1L188	9.45	0	1.38	NDUFAF8 C17orf89	NA	NA	NA	NA	NA	NA	NA
A1L190	12.5	20.45	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1L1A6	15.62	23.95	0	IGSF23	NA	NA	NA	NA	NA	NA	NA
A1L390	71.12	61.93	2.21	PLEKHG3 KIAA0599	NA	NA	NA	NA	NA	NA	NA
A1L3X0	7.47	0.71	NA	NA	NA	NA	NA	NA	NA	1	1
A1L3X4	2.04	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1L429	44.44	95.72	2.08	GAGE12B; GAGE12C; GAGE12D; GAGE12E	NA	NA	NA	NA	NA	NA	NA
A1L443	65.87	71.03	0.062	NUTM2F FAM22F	NA	NA	NA	NA	NA	NA	NA
A1L453	22.69	0	0.343	PRSS38 MPN2	NA	NA	NA	NA	NA	NA	NA
A1L4H1	39.47	66.75	2.42	SSC5D	NA	NA	NA	NA	NA	NA	NA
A1L4K1	23.23	23.76	0.003	FSD2 SPRYD1	NA	NA	NA	NA	NA	NA	NA
A1L4L8	34.46	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1L4Q6	17.36	12.57	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1X283	62.45	62.89	5.1	SH3PXD2B FAD49 KIAA1295 TKS4	NA	NA	NA	NA	NA	NA	NA
A1XBS5	23.52	30.79	15.4	FAM92A FAM92A1	NA	NA	NA	NA	NA	NA	NA
A1YPR0	37.8	27.94	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1Z1Q3	48.43	51.78	0.256	MACROD2 C20orf133	NA	NA	NA	NA	NA	NA	NA
A2A288	52.18	47.62	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2A2V5	18.69	4.67	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2A2Y4	37.01	14.9	0.073	FRMD3 EPB41L4O	NA	NA	NA	NA	NA	NA	NA
A2A2Z9	24.03	16.51	0.139	ANKRD18B	NA	NA	NA	NA	NA	NA	NA
A2A368	33.95	29.01	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2A3K4	30.5	25.99	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2A3L6	28.17	39.34	0.016	TTC24	NA	NA	NA	NA	NA	NA	NA
A2A3N6	38.39	31.78	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2AJT9	68.21	71.72	0.522	BCLAF3 CXorf23	NA	NA	NA	NA	NA	NA	NA
A2CJ06	33.73	38.06	0.002	DYTN	NA	NA	NA	NA	NA	NA	NA
A2IDD5	26.94	43.83	0.033	CCDC78 C16orf25 JFP10	NA	NA	NA	NA	NA	NA	NA
A2NJV5	0.83	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2PYH4	35.88	12.75	0.012	HFM1 SEC3D1	164045	0	NA	NA	NA	NA	NA
A2RRD8	5.1	11.98	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2RRH5	1.45	2.05	0.003	WDR27	NA	NA	NA	NA	NA	NA	NA
A2RRL7	28.03	5.6	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2RRP1	17.96	5.18	7.94	NBAS NAG	51594	0	NA	NA	NA	NA	NA
A2RTX5	8.35	5.36	3.14	TARS3 TARSL2	NA	NA	NA	NA	NA	1	1
A2RTY3	5.61	8.77	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2RU14	10.43	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2RU30	74.47	40.49	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2RU37	21.48	33.88	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2RU48	1.33	2.66	0.614	SMCO3 C12orf69	NA	NA	NA	NA	NA	NA	NA
A2RU49	4.82	3.48	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2RU54	71.06	56.41	0.291	HMX2	NA	NA	NA	NA	NA	NA	NA
A2RU67	17.84	15.11	0.337	FAM234B KIAA1467	NA	NA	NA	NA	NA	NA	NA
A2RUB1	59.97	34.97	0.189	MEIOC C17orf104	NA	NA	NA	NA	NA	NA	NA
A2RUB6	88.81	60.86	0.06	CCDC66	NA	NA	NA	NA	NA	NA	NA
A2RUC4	2.53	0.31	0.736	TYW5 C2orf60	NA	NA	NA	NA	NA	NA	NA
A2RUG3	9.4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2RUH7	0	16.1	0.413	MYBPHL	NA	NA	NA	NA	NA	NA	NA
