symbol	abundance	protein_size
144	IES2	25.9	320
145	PIG1	1.39	648
146	SPG5	1.69	373
147	SIR1	1.81	654
148	SEC26	358	973
149	RER1	40	188
150	MLS1	162	554
151	YOR186W	1.81	144
152	BIT61	15.2	543
153	YPL216W	22.2	1102
154	RPN3	154	523
155	DUS4	29.8	367
156	ERP6	5.36	216
157	APE4	12.3	490
158	ATG8	21.9	117
159	GCV3	262	170
160	ATG38	2.06	226
161	PAM16	109	149
162	FAR7	6.97	221
163	GSC2	125	1895
164	YLR365W	1.36	110
165	RAV1	9.74	1357
166	YLR256W-A	70.9	440
167	TRS20	12.2	175
168	GLC3	36.7	704
169	APP1	17.7	587
170	AIM41	127	185
171	MNS1	67.7	549
172	ASP3-1	1.44	362
173	SCM3	6.08	223
174	YMC1	40.5	307
175	MVP1	27	511
176	YEL010W	1.31	116
177	YBL005W-B	3.79	1755
178	TOM20	109	183
179	HRQ1	7.51	1077
180	RPB5	17.6	215
181	BRE4	2.74	1125
182	PRP42	16.8	544
183	PEP12	1.37	288
184	YKL068W-A	0.229	78
185	ROG1	2.26	685
186	YDR306C	1.53	478
187	YKL222C	1.78	705
188	DRS2	30.8	1355
189	CHO2	79.9	869
190	RIM11	71.2	370
191	NUP188	126	1655
192	AQY3	0.137	646
193	PHO3	99.2	467
194	SHE4	29.3	789
195	PET10	118	283
196	JNM1	3	373
197	DSC2	1.3	322
198	YDR444W	16.7	687
199	TSL1	149	1098
200	ALR2	19	858
201	YML6	31.2	286
202	PRP16	16.2	1071
203	EOS1	7.85	366
204	GAC1	1.52	793
205	OM14	50.6	134
206	YOR325W	1.23	157
207	RAD14	9.42	371
208	LST4	3.25	828
209	SDH7	13.8	133
210	YLR462W	1.86	202
211	TOR1	11.8	2470
212	YFR045W	3.43	309
213	CPR7	44.1	393
214	REG1	58.7	1014
215	NTO1	4.09	748
216	TEP1	5.54	434
217	ENA5	11.5	1091
218	SUR7	365	302
219	YJL055W	239	245
220	CAF130	12.3	1122
221	AUR1	56.5	401
222	STT4	8.65	1900
223	ESS1	90.6	170
224	DNF3	6.69	1656
225	VPS27	21.6	622
226	YHP1	1.99	353
227	GPM2	22.1	311
228	PRP39	36.6	629
229	MIC26	61.3	233
230	LOC1	48.5	204
231	RSM28	9.94	361
232	YLR118C	27.4	227
233	STU2	33.3	888
234	SKG3	11.8	1026
235	FRK1	13.2	865
236	COX23	20.7	151
237	PEX27	4.51	376
238	MGS1	17.1	587
239	YGR182C	11.7	117
240	MRPL35	107	367
241	PIB1	12.5	286
242	ILV6	337	309
243	VTC4	210	721
244	EXO5	14.3	585
245	TRP2	257	507
246	TPH3	32.4	561
247	RPL10	2090	221
248	YOR342C	18.8	319
249	COA3	22.7	85
250	YML003W	2.04	290
251	GTT1	109	234
252	HSK3	6.28	69
253	TPS3	191	1054
254	ERR3	10.5	437
255	YJL144W	6.26	104
256	PFF1	14.7	976
257	ARO80	4.07	950
258	YLR311C	1.46	115
259	TAF4	74.4	388
260	PRD1	162	712
261	YAR066W	0.129	203
262	ELO3	225	345
263	SET2	20.8	733
264	GET4	81.6	312
265	MCM5	94.1	775
266	PUT1	7.88	476
267	ENO2	15998	437
268	SSO2	51.4	295
269	TUB1	242	447
270	MDJ2	8.01	146
271	YOR114W	1.53	294
272	YCR100C	1.6	316
273	UTP9	1147	575
274	MSS2	19.8	351
275	YGR290W	1.5	147
276	AQR1	11	586
277	TRX2	718	104
278	YHL030W-A	0.06	153
279	CCE1	1.88	353
280	BRR2	33.9	2163
281	MRX1	6.45	688
282	RNH70	8.05	553
283	GRE3	255	327
284	AHK1	3.48	984
285	PRE1	195	198
286	ROX3	46	220
287	HOR7	288	59
288	HMI1	35.2	706
289	ISM1	16.4	1002
290	YGR107W	1.55	149
291	YCR038W-A	46.9	41
292	BUD9	6.91	547
293	PIR3	1.84	325
294	UBC12	3.89	188
295	PMC1	15.4	1173
296	BIO3	0.184	480
297	PAL1	30.6	499
298	OPY2	12.6	360
299	GUT1	20.7	709
300	THI4	1.52	326
301	HXK1	452	485
302	TYS1	872	394
303	RCR2	22	210
304	DDL1	6.02	715
305	YKL115C	1.56	130
306	MRPL4	71.9	319
307	ARC35	214	342
308	YGR160W	1.65	203
309	YML002W	2.55	737
310	YPS5	1.25	165
311	YKL066W	1.46	147
312	NTA1	20.8	457
313	YMR181C	6.81	154
314	GPT2	53.4	743
315	RPL5	1533	297
316	SSC1	543	654
317	AFI1	7.03	893
318	YDR154C	1.39	116
319	PET191	18.8	108
320	POM33	43.7	279
321	DBP2	604	546
322	PRM1	2.04	661
323	STE13	1.95	931
324	YBR224W	1.52	171
325	SSE1	2797	693
326	ATG36	1.35	293
327	HST1	12.6	503
328	YGR109W-A	1.93	290
329	ICL2	44.8	575
330	REV3	4.85	1504
331	FRE8	1.56	686
332	UGA3	11.8	528
333	FES1	199	290
334	PAR32	42.6	295
335	RRP43	52.7	394
336	PCL10	3.74	433
337	YPL251W	1.24	100
338	ATF1	16.9	525
339	MFA2	1.23	38
340	YGR039W	1.14	103
341	TIF4631	323	952
342	BNA1	139	177
343	YDL163W	1.6	100
344	MUM2	29.3	366
345	PFS1	1.65	237
346	SNU114	15.8	1008
347	PRM3	0.405	133
348	EMP47	87.9	445
349	XKS1	39.1	600
350	CUP9	5.35	306
351	EST3	1.54	181
352	MIP1	7.68	1254
353	TAF11	15	346
354	EBS1	5.86	884
355	OCA6	3.67	224
356	RPS23A	1926	145
357	YCL022C	1.54	171
358	MET17	1213	444
359	SER33	99.7	469
360	SWT21	1.62	357
361	POL4	2.1	582
362	RDH54	23.6	958
363	SET6	1.23	373
364	BNA5	37.5	453
365	RVB1	215	463
366	CMR1	30.9	522
367	YRB2	96.3	327
368	YDL158C	0.038	102
369	NSE5	6.1	556
370	NKP1	2.02	238
371	ACE2	8.59	770
372	TDH3	13635	332
373	RAD61	6.96	647
374	SPO71	1.41	1245
375	PAU13	1.24	120
376	KAP104	68.8	918
377	YTA7	12.9	1379
378	USE1	17.2	245
379	SWE1	13.3	819
380	ARN1	1.66	627
381	MSS51	117	436
382	YCT1	2.06	531
383	POP6	36.4	158
384	GLG2	9.19	380
385	YBL073W	1.59	103
386	GON7	18.3	123
387	MST27	1.54	234
388	RRP42	77.9	265
389	SNZ2	2.98	298
390	NNF1	26.7	201
391	HSP12	401	109
392	DBP6	115	629
393	UGP1	474	499
394	YJR124C	0.065	448
395	YDR526C	1.46	156
396	RPS18B	1159	146
397	CRP1	189	465
398	POP7	9.79	140
399	UTP25	30.5	721
400	RCF1	49.9	159
401	SEC13	272	297
402	NMT1	25.1	455
403	RFA3	90.7	122
404	YBR071W	10.9	211
405	APL2	68	726
406	RPL31B	690	113
407	PEP1	102	1579
408	DJP1	110	432
409	LSM2	74.5	95
410	YDR034C-C	3.03	438
411	SPO20	1.53	397
412	STP4	6.69	490
413	NET1	58.2	1189
414	MVB12	9.21	101
415	POM34	33	299
416	HTD2	7.34	280
417	YHR145C	1.33	118
418	UBC4	1204	148
419	YDR170W-A	73.9	440
420	HOP1	1.91	605
421	ARP4	19	489
422	CPR5	40.6	225
423	YLR050C	19.3	161
424	EAF1	3.56	982
425	GIS2	1285	153
426	GPN3	11.4	272
427	DMC1	1.78	334
428	CLD1	0.047	445
429	INN1	4.43	409
430	ENV10	11.5	181
431	YRA1	498	226
432	YGL132W	0.083	111
433	ADE6	748	1358
434	GMC2	1.63	188
435	CIA2	29.1	231
436	YAL064W	1.06	94
437	SRP102	107	244
438	YHR078W	4.45	552
439	TIF5	849	405
440	BEM1	69.5	551
441	PAP1	139	568
442	TIM44	99.3	431
443	RPS24B	1170	135
444	FUN19	1.58	413
445	RUD3	104	484
446	YPL107W	22.1	248
447	YDL186W	1.57	277
448	ATS1	1.55	333
449	MET28	5.4	187
450	DED1	257	604
451	HAS1	270	505
452	YDR053W	1.45	131
453	YDL012C	20.6	107
454	YGL235W	1.47	178
455	PAB1	2652	577
456	CSM3	19	317
457	YDR278C	0.938	105
458	CHD1	48.6	1468
459	AFT1	21.7	690
460	ERP5	12.5	212
461	HBN1	8.62	193
462	YKU70	29.3	602
463	YNL276C	1.63	131
464	PUT2	228	575
465	HOG1	173	435
466	EAF3	31.7	401
467	TRP5	795	707
468	FMO1	1.38	432
469	TOM7	40.2	60
470	YPL162C	27.6	273
471	PRP40	5.05	583
472	MPD2	34.6	277
473	BSC2	8.89	235
474	YCL019W	2.56	1770
475	YJL114W	0.044	226
476	MAL33	1.5	468
477	ECM31	27.7	312
478	SSN8	2.19	323
479	PEX28	2.61	579
480	SBE2	2.24	864
481	CWP2	435	92
482	YHL026C	7.61	315
483	DDR48	118	430
484	CIT1	194	479
485	MCM3	253	971
486	PAU8	0.014	120
487	GPI15	0.034	229
488	ILV1	215	576
489	SHU1	1.62	150
490	YLR400W	1.38	157
491	SEA4	15.6	1038
492	BEM3	33.4	1128
493	YER138C	11.2	1755
494	YOR309C	2.01	126
495	IME4	1.86	600
496	MSG5	8.09	489
497	TEC1	18	486
498	CCC2	4.08	1004
499	YPR063C	48.7	140
500	GYP7	27.6	746
501	GPI17	70.9	534
502	YGL102C	1.43	142
503	YNL179C	1.54	145
504	MHT1	7.96	324
505	CCT5	196	562
506	FMP33	7.87	180
507	DIN7	0.176	430
508	YIL082W-A	0.448	1498
509	TIF2	788	395
510	HXT14	0.115	540
511	OYE3	3.19	400
512	MPD1	25.6	318
513	AIM25	1.81	327
514	PRM4	1.61	284
515	DBP10	94.9	995
516	YGR296C-A	0.508	191
517	RPS8B	622	200
518	PSD1	18.9	500
519	CDC16	39.8	840
520	MIF2	6.18	549
521	LEA1	27.9	238
522	RDL1	189	139
523	TIM54	29.4	478
524	TMA10	33.8	86
525	TRX1	481	103
526	ISW2	34.1	1120
527	PEX2	7.38	271
528	RPF2	382	344
529	RPC10	81.4	70
530	ATO2	1.41	282
531	GAL11	21	1081
532	YPR098C	21	161
533	PEP7	10.2	515
534	YNL109W	1.81	181
535	GCS1	170	352
536	RSN1	111	953
537	YPL044C	1.35	182
538	VBA4	44.5	768
539	HXT11	0.168	567
540	YDL086W	38.6	273
541	RPS30B	515	63
542	HOM2	1398	365
543	PPA2	10.1	310
544	TIM21	35.7	239
545	WHI4	27.1	649
546	CUP2	15.2	225
547	SCW10	139	389
548	ENT4	30.1	247
549	RCO1	9.91	684
550	PET123	46	318
551	ASK10	28.6	1146
552	MRPL23	112	163
553	TAF3	29.5	353
554	MAL32	28.7	584
555	VAM10	1.34	114
556	ADE4	274	510
557	STO1	137	861
558	HXK2	3086	486
559	YDR442W	0.05	130
560	YDJ1	1788	409
561	CAX4	20.3	239
562	ATG10	1.44	167
563	PDR16	217	351
564	CIP1	9.47	381
565	ERG25	726	309
566	ARF2	247	181
567	AI1	0.007	834
568	OPI8	1.27	213
569	RPS1B	3917	255
570	OPI10	74.9	246
571	RAD2	7.96	1031
572	MRPL16	35.4	232
573	LYS2	378	1392
574	HXT4	1.12	576
575	RBK1	40.2	333
576	MAP1	323	387
577	ALK1	18.7	760
578	MRP7	61.6	371
579	VPS35	44.7	944
580	YAT2	37.6	923
581	NOP6	116	225
582	YGL069C	2.53	154
583	EPO1	20.1	943
584	YBL094C	1.39	110
585	PPH3	26.1	308
586	ISW1	126	1129
587	SPO74	1.4	413
588	SNP1	7.94	300
589	SNF2	8.53	1703
590	TOP3	370	656
591	YLR361C-A	1.92	98
592	YAL064W-B	1.5	126
593	YDL162C	1.24	118
594	MRS6	205	603
595	YKL070W	1.49	169
596	FAR3	14.8	204
597	DPL1	139	589
598	YJU3	54.6	313
599	YPR117W	1.73	2489
600	HAP1	2.47	1502
601	YOS1	0.581	85
602	RPL7B	609	244
603	YPR076W	1.63	124
604	STN1	1.35	494
605	UPF3	21	387
606	NHP6A	144	93
607	FOX2	34.9	900
608	SMA1	1.55	245
609	SRB7	15.5	140
610	MPH1	2.31	993
611	HAA1	13	694
612	MCM10	27.6	571
613	RPL14B	1101	138
614	HSP31	79.7	237
615	AGE1	8.34	482
616	CDC5	12.3	705
617	YPL062W	10.8	134
618	ALG7	0.165	448
619	MRPS5	93.8	307
620	CTL1	1.37	320
621	SPT16	292	1035
622	SDS24	95.1	527
623	PAN1	99.6	1480
624	REC107	1.89	314
625	YER085C	1.54	173
626	COQ6	89.3	479
627	UIP3	14.2	235
628	SUC2	21.3	532
629	BUG1	66	341
630	SLX9	52.5	210
631	RPL36B	1290	100
632	SMD2	25.4	110
633	FEX1	3.28	375
634	LNP1	33.3	278
635	RPS6B	1138	236
636	YDL034W	1.51	114
637	MUD1	20.8	298
638	TRK2	1.25	889
639	YMR321C	41.1	105
640	PHO11	316	467
641	YML133C	1.44	1374
642	VMA16	106	213
643	STH1	63.2	1359
644	FLR1	1.97	548
645	RPC53	48.3	422
646	YOR041C	1.51	143
647	SWD1	8.58	426
648	WHI3	83.6	661
649	MDL1	20.4	695
650	TEL1	6.26	2787
651	ACA1	1.39	489
652	YJR149W	4.32	404
653	TFB1	43.2	642
654	PEX17	8.44	199
655	CPR4	4.57	318
656	AIM14	2.53	570
657	ARE1	2.34	610
658	COG5	21	403
659	RPS27A	707	82
660	IOC3	22.8	787
661	THI5	2.48	340
662	MIR1	283	311
663	LCB2	505	561
664	ATG20	10.6	640
665	YML037C	13.6	340
666	ISY1	16.1	235
667	TPO1	59.3	586
668	TRS85	65.6	698
669	PRM9	5.01	298
670	CLA4	6.41	842
671	REE1	48.2	198
672	YGL024W	0.059	111
673	TIM8	43.8	87
674	YDR467C	1.4	108
675	YNL092W	7.88	400
676	VTI1	7.62	217
677	TEF1	7233	458
678	GIC1	11.3	314
679	ALP1	0.125	573
680	TMA16	76.3	178
681	YFR035C	1.31	114
682	MPH2	1.55	609
683	BOL3	93.4	118
684	YNL122C	3.24	115
685	GCN4	7.81	281
686	DOT5	29.3	215
687	QCR7	344	127
688	ALG8	1.62	577
689	ECM12	1.53	151
690	TDA4	4.29	279
691	YOR186C-A	0.219	69
692	NTC20	20	140
693	SIT1	7.41	628
694	YBL071C	1.54	102
695	SOG2	16.7	791
696	CCS1	367	249
697	ERP2	312	215
698	UBP8	14.7	471
699	RRT15	0.201	62
700	PDR10	12.6	1564
701	YLR399W-A	0.169	34
702	YAE1	17.6	141
703	FRE1	17.6	686
704	YIL156W-B	5.14	73
705	RPS29B	888	56
706	JEM1	32.2	645
707	RTT102	32	157
708	L9233.4	1.2	114
709	SOM1	2.89	74
710	SCT1	38.5	759
711	AAD4	1.33	329
712	SEC12	66.9	471
713	YGL138C	1.49	345
714	NOC4	48.7	552
715	CEX1	36.4	761
716	AAC3	25	307
717	PKH3	0.258	898
718	PLP1	18.5	230
719	RET2	238	546
720	SVP26	20.3	228
721	FIT2	0.409	153
722	RAD23	230	398
723	MDR1	25.2	950
724	TAF13	21	167
725	GRX5	81.7	150
726	MLP1	72.8	1875
727	CYS3	780	394
728	YSP3	1.5	478
729	CIS3	102	227
730	ADA2	22.5	434
731	GAS4	0.013	471
732	BMT6	6.91	365
733	FPS1	20.9	669
734	DHH1	412	506
735	YEL043W	14.7	956
736	YEL025C	7.12	1188
737	CDC8	25.9	216
738	PRX1	85.8	261
739	KOG1	3.01	1557
740	YGR079W	1.47	370
741	ALG9	39	555
742	SND1	6.23	877
743	ATC1	8.82	294
744	LDS2	3.35	356
745	DAD1	18.4	94
746	SAP1	4.42	897
747	SSZ1	1130	538
748	LYS20	794	428
749	VTC1	164	129
750	YJL225W-A	0.007	160
751	SRP21	52.6	167
752	RCK1	1.63	512
753	URA2	868	2214
754	YKL147C	1.45	205
755	UBC9	77.2	157
756	YER039C-A	2.2	72
757	BET4	4.56	327
758	MRX3	6.85	270
759	BUD20	114	166
760	NBP35	24.6	328
761	ABM1	1.59	123
762	YDR193W	1.93	132
763	YMR147W	1.72	223
764	BUD7	19.5	746
765	YIL142C-A	0.258	110
766	YMR051C	14.9	440
767	CMC2	27.2	109
768	BTT1	20.7	149
769	SLO1	2.51	85
770	RML2	21.6	393
771	RKM4	70.8	494
772	YNL095C	7.02	642
773	APL1	26.3	700
774	VEL1	1.52	206
775	HPT1	443	221
776	PUP3	57.7	205
777	YHI9	73.3	294
778	SNU66	3.73	587
779	TTI1	7.19	1038
780	BAG7	2.06	409
781	MCH5	1.5	521
782	YHR045W	24.6	560
783	DCI1	0.436	271
784	RPL11B	1528	174
785	HSP30	69.2	332
786	HEL1	16.9	551
787	MGR1	33	417
788	YGR237C	20.9	785
789	LAS17	71	633
790	YDR090C	10.7	310
791	FAF1	3.27	346
792	YBL100W-B	2.14	1770
793	MIG2	13	382
794	STE5	18.3	917
795	FMP16	44	93
796	ARP7	57.9	477
797	SPE2	110	396
798	YLR269C	1.49	116
799	VMA8	158	256
800	YML053C	6.8	212
801	PAT1	63.5	796
802	YDR109C	3.15	715
803	DBP5	328	482
804	RDS1	1.58	832
805	UBA1	1083	1024
806	YLR108C	10.6	485
807	RPL21A	574	160
808	TRM44	75.8	567
809	COQ10	1.43	207
810	ATP2	1555	511
811	VPS9	53.1	451
812	GLN4	554	809
813	YGL260W	2.37	76
814	TOS2	1.68	622
815	AAD15	1.46	143
816	YGR161C-C	14.9	440
817	CCP1	129	361
818	YJL202C	0.059	115
819	NMD4	66.6	218
820	IMD4	178	524
821	DCP1	54.5	231
822	RPL22A	1530	121
823	COA1	17.4	197
824	HEH2	33.6	663
825	YML009W-B	0.866	158
826	FLO11	0.032	1367
827	GPP2	234	250
828	CDC73	35.6	393
829	KAR9	4.87	644
830	URA1	2335	314
831	RRP7	81.1	297
832	MATALPHA2	1.43	210
833	IRC16	1.35	119
834	CYC2	20.7	366
835	RRS1	24.1	203
836	BTS1	27.4	335
837	PTI1	25.2	425
838	PUF3	60.7	879
839	AIM18	15.4	321
840	SFB2	45.8	876
841	REG2	1.64	338
842	RPC19	277	142
843	PIP2	2.14	996
844	ACL4	64.7	387
845	KEX2	17.1	814
846	HMG1	90.1	1054
847	MLP2	33.6	1679
848	YGR228W	0.383	114
849	YNL194C	2.86	301
850	CFT1	11.3	1357
851	RHO2	46.6	192
852	BMS1	44.6	1183
853	PPT2	4.98	173
854	AAP1	647	856
855	KKQ8	9.03	724
856	HCM1	4.67	564
857	YCR049C	1.52	148
858	GLC8	81.9	229
859	RSC8	165	557
860	RRP17	59.8	235
861	YNL235C	1.78	143
862	KRE29	2.08	464
863	CLB1	3.76	471
864	YOR302W	63.8	25
865	SFC1	15.6	322
866	OSM1	13.6	501
867	LAM1	11.1	1228
868	NRT1	2.4	598
869	YPT32	71.6	222
870	MET30	3.82	640
871	MRI1	40.9	411
872	YDL218W	1.65	317
873	YFL002W-A	2.53	1770
874	RRP14	20.2	434
875	GRX3	110	285
876	TOK1	1.62	691
877	STE20	53.9	939
878	AIM22	1.91	409
879	YLR402W	1.53	63
880	SAE3	1.6	91
881	SSU72	2.48	206
882	ALG12	58.2	551
883	LYS1	885	373
884	ERG12	83.3	443
885	SSH1	133	490
886	PAU4	1.19	120
887	OSW1	1.3	278
888	YDL177C	7.76	170
889	CRG1	39.6	291
890	TRM1	201	570
891	SAE2	8.81	345
892	SMI1	163	505
893	ICE2	28.3	491
894	SNF6	25.6	332
895	SEC4	169	215
896	PIN4	49	668
897	TMA17	56.8	150
898	YOR121C	1.54	101
899	WSC4	1.87	605
900	YER097W	1.45	109
901	RAS1	26.5	309
902	YAL037C-A	0.104	30
903	RFC2	95.1	353
904	YIL166C	1.32	542
905	DIS3	80.9	1001
906	YFL012W	1.47	148
907	CMR3	3.13	317
908	YDR118W-A	0.148	38
909	QRI1	162	477
910	SNU23	11.6	194
911	SLM6	2.28	150
912	J0238	1.34	147
913	TY2A-F	1.54	438
914	MIT1	37.5	666
915	RRG1	13.4	365
916	DLS1	31.1	167
917	VPS55	26.8	140
918	URB2	35.9	1174
919	SHM2	1182	469
920	FAA3	85.7	694
921	YAR066W	0.129	203
922	MAS2	362	482
923	VPS28	12.5	242
924	BZZ1	136	633
925	HPR1	38.2	752
926	YKL069W	48.1	180
927	MRPL10	68.8	322
928	YDR431W	1.38	103
929	CTA1	17.2	515
930	NAM9	78.5	486
931	CUE2	1.54	443
932	PRS4	107	326
933	URC2	11.9	772
934	SIF2	15.3	535
935	MET6	5328	767
936	RTC1	8.16	1341
937	COS111	1.29	924
938	DEF1	468	738
939	YEL023C	0.093	682
940	ECM18	3.05	453
941	SOV1	7.33	898
942	YGL152C	1.41	225
943	YHR182W	12.3	785
944	YAL004W	1.46	215
945	ERC1	0.062	581
946	YDR391C	73.6	232
947	LOT6	12.4	191
948	YML100W-A	1.52	57
949	FRE3	1.23	711
950	TAT1	86	619
951	YLR464W	0.05	216
952	SNF1	128	633
953	EIS1	331	843
954	EXO84	25.5	753
955	PMD1	15.8	1753
956	UBP12	72.4	1254
957	SWH1	36.2	1188
958	THG1	19.2	237
959	YLR446W	1.46	433
960	ERV29	74.6	310
961	EHT1	86.2	451
962	DPH2	45.4	534
963	YGR027W-B	6.67	1755
964	DAM1	31.9	343
965	SPC2	77.1	178
966	SGT1	31.1	395
967	HRD1	20.2	551
968	HYP2	1421	157
969	BUD27	26	796
970	ERG24	66.9	438
971	OPI3	80.8	206
972	NUP2	200	720
973	RMD1	8.82	430
974	YIL154C	37.7	346
975	YIL100W	1.26	117
976	MAL13	2.61	473
977	YGP1	42.2	354
978	GPI10	1.71	616
979	DED81	384	554
980	YHL019W-A	0.056	197
981	MLC1	48.3	149
982	FEX2	3.1	375
983	RRT5	1.35	289
984	RPN5	279	445
985	CHS3	25.5	1165
986	GCD10	36.5	478
987	YDR015C	1.37	79
988	YER152C	17.5	443
989	YNL193W	2.79	558
990	PAF1	55.6	445
991	RPO31	115	1460
992	ORT1	35.3	292
993	SDS3	9.29	327
994	DAL7	7.73	554
995	RNR3	21.2	869
996	FUS3	169	353
997	LYS21	413	440
998	SMT3	169	101
999	YPR158W-B	311	1756
1000	YMR262W	2.95	313
1001	YMR196W	70.8	1088
1002	YPR077C	0.168	123
1003	SCW4	194	386
1004	RMD5	2.81	421
1005	STV1	12.5	890
1006	RPS16A	726	143
1007	ESL1	3.89	1118
1008	YCL001W-B	1.17	84
1009	YDR509W	1.31	115
1010	YPR148C	59.7	435
1011	TRA1	14.8	3744
1012	PDC6	71.8	563
1013	BAP3	79.7	604
1014	NOP14	23.7	810
1015	EAF5	9.6	279
1016	YGR201C	4.74	225
1017	NCE101	0.48	53
1018	APN1	129	367
1019	LAP3	77.2	454
1020	ROX1	8.84	368
1021	RPE1	199	238
1022	GCR2	9.2	534
1023	HHO1	139	258
1024	PDB1	186	366
1025	VMA4	592	233
1026	ECM5	3.19	1411
1027	HIT1	21.7	164
1028	LYP1	70	611
1029	HES1	12.9	434
1030	PFK27	3.09	397
1031	AGE2	78.5	298
1032	FMT1	10.7	401
1033	NUP170	52.7	1502
1034	YER091C-A	1.29	73
1035	MET16	19.6	261
1036	SRP72	178	640
1037	SPP2	9.11	185
1038	HHT2	1752	136
1039	HFA1	5.47	2123
1040	YCS4	20.9	1176
1041	CDC20	4.32	610
1042	SHR5	8.18	237
1043	YLR230W	1.49	101
1044	YKL156C-A	0.239	38
1045	PDC1	11472	563
1046	YSF3	0.293	85
1047	PRO1	165	428
1048	SEG1	25.9	960
1049	SNA2	220	79
1050	UBA3	11.8	299
1051	YLR152C	0.017	576
1052	VPH1	607	840
1053	NBL1	0.338	73
1054	IPI1	226	334
1055	RFT1	0.193	574
1056	KRS1	1002	591
1057	TSR1	49.2	788
1058	PNP1	25.8	311
1059	CLB6	1.78	380
1060	YER135C	1.59	130
1061	APT2	12.4	181
1062	ATG32	110	529
1063	YHR214C-D	1.43	97
1064	TMA23	12.1	211
1065	RDS2	7.7	446
1066	ALK2	1.59	676
1067	FUR1	170	216
1068	CTH1	2.03	325
1069	TDA10	45.5	290
1070	YMR099C	236	297
1071	IMD2	139	523
1072	CSL4	129	292
1073	YNL067W-A	1.33	48
1074	VID22	35.7	901
1075	YDR203W	1.36	105
1076	PFK2	1697	959
1077	CPA2	1314	1118
1078	RCF3	2.99	120
1079	MRX12	46.7	519
