mouse	human
A2AJL3	Q96C11
A2AJN7	Q8NBS3
A2AJQ3	Q7Z388
A2AJT4	Q8TF01
A2AJX4	Q5VYJ5
A2AKB4	Q5SYB0
A2AKB9	Q5QP82
A2AKE7	Q5JWF8
A2AKG8	Q5VW36
A2AKM2	Q5VWC8
A2AKQ0	Q9NTN3
A2AKX3	Q7Z333
A2AKY4	Q7Z570
A2AL36	Q7Z7A1
A2ALI5	Q9UKB5
A2ALK8	P26045
A2ALS5	P47736
A2ALU4	Q13796
A2ALV5	Q5VXU9
A2ALW5	Q9H1X3
A2AM05	Q9NXG0
A2AM29	P42568
A2AMM0	Q5BKX8
A2AMT1	Q12934
A2AMZ4	A1L188
A2AN08	Q5T4S7
A2ANU3	Q9H7V2
A2ANX9	Q9Y462
A2AP18	O75038
A2APB8	Q9ULW0
A2APC3	Q3SXZ7
A2APF3	Q8NI51
A2APT9	Q5VTJ3
A2APV2	Q96PY5
A2APX8	P35498
A2APY7	Q5TEU4
A2AQ07	Q9H4B7
A2AQ14	O43482
A2AQ19	Q92541
A2AQ25	Q5T5P2
A2AQH4	Q5H9F3
A2AQP0	A7E2Y1
A2AQW0	Q6ZN16
A2AR02	Q13427
A2AR50	Q5JS13
A2AR95	Q86YD5
A2ARA8	P53708
A2ARI4	Q9BXB1
A2ARJ3	Q5W0B7
A2ARK0	Q9BQN1
A2ARM1	C9JE40
A2ARP1	Q6PFW1
A2ARP9	Q96P56
A2ARS0	C9JTQ0
A2ARV4	P98164
A2ARZ3	Q5CZC0
A2AS55	Q6P6B7
A2AS89	Q9BSE5
A2ASA8	Q6GPH6
A2ASI5	Q9NY46
A2ASQ1	O00468
A2ASS6	Q8WZ42
A2ASZ8	Q6KCM7
A2AT37	Q9HAU5
A2ATD1	B1AKI9
A2ATU0	Q96HY7
A2AU37	Q9H4I0
A2AU72	Q5W041
A2AUC9	O60662
A2AUM9	O94986
A2AUU0	Q9H825
A2AV25	Q8N539
A2AVA0	Q4LDE5
A2AVJ5	Q6MZQ0
A2AVQ5	Q3ZCV2
A2AVR2	Q68CQ1
A2AVZ9	Q8NBI5
A2AWA9	Q9Y3P9
A2AWL7	Q8IWI9
A2AWP0	Q96CA5
A2AWP8	Q9HCE6
A2AWT3	Q14CW9
A2BDP1	O75949
A2BDX3	O95396
A2BDX4	Q9UIX4
A2BE28	Q9Y4W2
A2BFL2	Q6WRX3
A2BGH0	P59827
A2BH40	O14497
A2CE44	P98169
A2CG49	O60229
A2CG63	Q4LE39
A2CI98	A2CJ06
A2RRY8	Q496A3
A2RSJ4	A0JNW5
A2RSQ0	Q6ZUT9
A2RSQ1	Q8NCI6
A2RSX4	Q8N7X2
A2RSX7	A2RUC4
A2RSY1	Q9P2N6
A2RSY6	Q7Z2T5
A2RT60	P83105
A2RT62	Q8N461
A2RT67	A2RUS2
A2RT91	Q7Z5J8
A2RTF1	Q9H7T0
A2TJV2	A6NDB9
A2VDH3	Q5VT99
A3KFM7	Q8TD26
A3KFU9	Q9P2K9
A3KFX0	Q9BXI3
A3KG59	Q8IYS1
A3KGA4	Q9BRU2
A3KGB4	Q0IIM8
A3KGF7	Q00722
A3KGF9	Q6ZUT6
A3KGS3	Q2PPJ7
A3KGV1	Q5BJF6
A3KGW5	Q5T4B2
A3KMN5	Q569H4
A3KMP2	Q5R3I4
A4FUP9	Q96MS3
A4Q9E4	Q9BWV7
A4Q9E5	Q9Y4R7
A4Q9E8	Q8N841
A4Q9F0	Q6ZT98
A4Q9F1	A6PVC2
A4Q9F3	Q6ZVT0
A4Q9F4	Q8NHH1
A4QPC6	Q8WVV5
A6BLY7	Q7Z3Y7
A6H584	A8TX70
A6H5X4	Q9UIL8
A6H5Y1	Q99550
A6H5Y3	Q99707
A6H5Z3	Q9Y2D4
A6H603	Q149M9
A6H611	Q99797
A6H619	Q9P1Y6
A6H630	Q9H993
A6H639	Q5JU00
A6H687	A6NKF1
A6H694	Q05C16
A6H6A4	A6NIV6
A6H6A9	"B7ZAP0,Q5R372"
A6H6E2	Q9H8L6
A6H6E9	Q6PF05
A6H6Q4	A6NCJ1
A6H8H2	Q5VZ89
A6H8H5	Q92953
A6PWD2	B1AJZ9
A6PWV3	Q5VZ72
A6PWV5	A6NKF2
A6PWY4	Q9H967
A6X8Z5	Q2M1Z3
A6X8Z9	Q96M34
A6X919	Q2PZI1
A6X935	Q14624
A6X942	Q5SQS7
A7DTG3	Q9NUC0
A7E1Z1	Q68D42
A7L9Z8	O75185
A7M7C7	Q2VWA4
A7MCT6	Q9NVF9
A7RDN6	Q5VYX0
A8C756	Q6YHU6
A8E0Y8	Q93033
A8Y5H7	Q92503
A9JSM3	C9JI98
A9Q751	Q4G0U5
A9Z1V5	Q5TIE3
B0QZF7	Q8NCQ7
B0V2N1	Q13332
B1AQ75	O76013
B1AQJ2	Q9P275
B1AQL3	A6NFC5
B1AR13	P0C7P0
B1ARD6	Q68D06
B1ARD8	Q68D06
B1ARI9	P0C7W0
B1AS29	Q13003
B1AS42	Q6IPT4
B1AT66	O15403
B1ATG9	A6NFA1
B1AUC7	Q6ZRI8
B1AUE5	O60683
B1AUH1	Q92729
B1AUR6	Q6ZRQ5
B1AVD1	O43895
B1AVH7	Q9BYX2
B1AVY7	Q96L93
B1AVZ0	Q96BW1
B1AWI6	Q1L6U9
B1AWJ5	A6NDV4
B1AWL2	Q96JM2
B1AWN6	Q99250
B1AX39	Q8N3Z6
B1AXD8	Q53H80
B1AXH1	Q5HYW2
B1AXV0	Q9P0K9
B1AY10	Q12986
B1AY13	Q9UPU5
B1AY15	Q70EK9
B1AYB6	Q9P267
B1AZ99	Q5T2D3
B1AZA5	Q9H330
B1AZI6	Q8NI27
B1AZP2	Q9Y2H0
B2B9E1	Q629K1
B2KFW1	P17040
B2KGE5	H3BQW9
B2RPU2	A6NEE1
B2RPV6	Q13201
B2RPY5	Q8N6U8
B2RQA1	Q16322
B2RQC2	Q9H9J4
B2RQC6	P27708
B2RQE8	A6NI28
B2RQL2	Q6ZVD7
B2RQR8	P0DPD6
B2RR83	Q9H6S0
B2RRD7	P55201
B2RRE4	Q9C0D4
B2RRE7	Q01804
B2RRF6	Q6AHZ1
B2RRL2	Q9Y4A0
B2RS91	Q9NYV6
B2RSH2	P63096
B2RU40	C9JH25
B2RU80	P23467
B2RUI1	Q7Z340
B2RUJ5	Q02410
B2RUP2	Q70J99
B2RUR4	Q5T749
B2RUR8	Q6GQQ9
B2RVL6	Q8N2G6
B2RVY9	Q6ZP80
B2RW38	Q5T655
B2RWJ3	Q5SV17
B2RWS6	Q09472
B2RWW0	Q8N103
B2RX12	O15438
B2RX14	Q5TAX3
B2RX88	Q1MSJ5
B2RXA1	Q0VAA5
B2RXB2	C9JCN9
B2RXC1	Q7Z392
B2RXC5	Q96SR6
B2RXM4	Q5VVY1
B2RXR6	Q8N8A2
B2RXS4	O15031
B2RXV4	Q9Y5Y0
B2RY04	Q9H7D0
B2RY50	Q5T2S8
B2RY83	Q8WWQ2
B3GLJ3	B3GLJ2
B5KM66	A1L190
B5TVM2	Q71H61
B5X0E4	Q2M3G0
B6A8R8	B6A8C7
B7ZCC9	Q8IZF6
B7ZNG0	Q2M1P5
B7ZNG4	Q12815
B8JK39	Q13797
B8ZXI1	Q9H974
B9EHT4	Q96DZ5
B9EJ57	Q99551
B9EJ80	Q8NEN9
B9EJ86	Q9BZF1
B9EJA2	Q8WZ74
B9EJI9	B2RXF0
B9EJR8	Q86Y56
B9EJV3	Q9C091
B9EJX3	A0A1B0GUX0
B9EKI3	P82094
B9EKR1	P23471
B9EKX1	Q6ZW05
C0HKD1	Q6ZU69
C0HKD2	Q6ZU69
C0HKD3	Q6ZU69
C0HKD8	P55081
C0HKD9	P55081
C0HKE7	P0C0S8
C0HKE8	Q93077
C0HKG5	O00584
C0HKG6	O00584
C0LLJ0	A9QM74
C3VPR6	Q86WI3
C6KI89	Q6ZRH7
D0QMC3	Q16666
D2EAC2	P86452
D2J0Y4	Q96M02
D3YTS9	Q9BZG2
D3YU32	A0A0J9YWL9
D3YU81	Q6ZV50
D3YUB6	"Q5XKL5,Q9UPP5"
D3YV10	Q8IYE1
D3YVE8	Q8TBE7
D3YVF0	P24588
D3YWE6	Q10571
D3YWJ0	Q68CJ6
D3YWP0	Q96AZ1
D3YX43	Q8N0Z9
D3YXG0	Q96RW7
D3YXK1	Q6SPF0
D3YXK2	Q15424
D3YXS5	B7ZC32
D3YY23	Q17RB8
D3YYI7	Q8TC41
D3YYM0	O00110
D3YYM4	Q3MJ13
D3YZF7	Q86VR7
D3YZG8	Q9H903
D3YZI9	Q8N414
D3YZP9	Q16204
D3YZU1	Q9Y566
D3YZV8	Q9H0W5
D3Z070	C9J6K1
D3Z0R2	Q96LQ0
D3Z1D3	Q711Q0
D3Z1Q2	Q96G30
D3Z1U7	B4DJY2
D3Z291	Q8IU99
D3Z2R5	Q9NZV5
D3Z3C6	Q86XD8
D3Z3K2	Q9NPC3
D3Z423	A8MTL3
D3Z4I3	Q9BX46
D3Z4R1	A2PYH4
D3Z4S3	Q6GMV3
D3Z5L6	Q6NT16
D3Z5L9	O95389
D3Z5T1	A2IDD5
D3Z690	Q1ZYL8
D3Z6H8	P17707
D3Z6P0	Q13087
D3Z6Q9	Q9UBW5
D3Z6S9	Q7L0X2
D3Z750	A6NES4
D3Z752	Q9BT56
D3Z7H4	Q6UXU4
D3Z7H8	Q8IUL8
D3Z7P3	O94925
D4PHA7	Q2TBF2
D7PDD4	O95866
E0CYV9	D6RIA3
E0CZ16	Q9UH77
E1U8D0	O94964
E2JF22	Q92508
E5FYH1	Q8N9V7
E9PUL5	Q7Z6L0
E9PV24	P02671
E9PV82	Q6NSI3
E9PV86	Q6DN14
E9PV87	Q9BVV6
E9PVA8	Q92616
E9PVB3	P0C221
E9PVB5	Q96AE7
E9PVD1	Q6P9F0
E9PVD3	Q96JQ0
E9PVX6	P46013
E9PW74	P0DJR0
E9PXF8	Q86WG5
E9PXT9	A6NMN3
E9PY46	Q96RY7
E9PYH6	O15047
E9PYK3	Q9UKK3
E9PYL2	Q9ULL5
E9PYY5	Q5VTH9
E9PZ19	"Q9UPX0,Q6AWC8"
E9PZJ8	Q8N3C0
E9PZM4	O14647
E9PZQ0	P21817
E9PZZ1	Q9H4Q3
E9Q0B3	F5H4A9
E9Q0N2	Q9HD43
E9Q173	Q32M84
E9Q1P8	Q7Z5L9
E9Q1U1	Q6TFL3
E9Q286	Q9Y2F5
E9Q2M9	Q6ZS81
E9Q2Z1	Q9BXF3
E9Q309	Q5VT06
E9Q349	Q64LD2
E9Q355	Q6ZRH7
E9Q394	Q12802
E9Q3C1	Q9Y426
E9Q3L2	P42356
E9Q3S4	Q56UN5
E9Q3T6	Q9GZV8
E9Q401	Q92736
E9Q414	P04114
E9Q4F7	Q6UB99
E9Q4J9	Q8IZF7
E9Q4N7	Q8NFD5
E9Q4P1	Q8IWB7
E9Q4S1	O95263
E9Q4Z2	O00763
E9Q555	Q63HN8
E9Q557	P15924
E9Q5F9	Q9BYW2
E9Q5G3	Q02241
E9Q5K9	Q96MU7
E9Q5L8	Q5SZD4
E9Q5M6	Q96MT7
E9Q5R7	P59046
E9Q5Z5	Q9NPI8
E9Q612	Q16827
E9Q634	Q12965
E9Q649	Q9P109
E9Q6B2	A6NKD9
E9Q6C8	Q5GH73
E9Q6J5	Q8NFC6
E9Q6P5	Q86TV6
E9Q6W4	Q8WUU4
E9Q6X9	Q5TG30
E9Q6Z5	Q9H7T9
E9Q735	Q14139
E9Q743	Q8TBY9
E9Q793	Q6NUN7
E9Q7D5	Q12774
E9Q7E2	Q68CP9
E9Q7F2	Q8NCN4
E9Q7G0	Q14980
E9Q7P9	Q9BYE9
E9Q7R9	Q8NDM7
E9Q7T7	Q6NUI6
E9Q7X6	Q9ULI3
E9Q7X7	"Q9P2S2,P58401"
E9Q816	Q8TAV3
E9Q8D0	Q5F1R6
E9Q8I9	Q5TBA9
E9Q8T2	P57071
E9Q8T7	Q9P2D7
E9Q942	P0DJ93
E9Q956	Q4G0Z9
E9Q9A9	P29728
E9Q9D5	Q9UBK7
E9Q9F6	Q86XM0
E9Q9K5	Q13061
E9Q9R9	Q8TDM6
E9Q9W7	Q9H5P4
E9QA28	Q2WEN9
E9QA62	Q0VAK6
E9QAF0	Q5TZJ5
E9QAF0	Q5VU36
E9QAF0	Q5VVP1
E9QAF0	Q5VYP0
E9QAF0	Q8IWB4
E9QAM5	Q9BYK8
E9QAT4	O15027
E9QAU8	Q6ZSG1
E9QMW4	A6NNT2
F2YMG0	P0CW18
F2Z461	Q8IVU3
F6SEU4	Q96PV0
F6TQD1	Q495C1
F6VAN0	P18850
F6XZJ7	Q9P1V8
F6ZDS4	P12270
F7A4A7	Q3ZCN5
F7BJB9	Q14149
F7BWT7	O95858
F8VPN2	Q9BXT5
F8VPQ2	P29374
F8VPU2	Q9Y4F1
F8VPZ5	"Q03468,P0DP91"
F8VPZ9	Q9NZM4
F8VQB6	Q9HD67
F8VQN3	O00270
G3UVW3	Q8IZM9
G3UWD5	P0CW23
G3UYX5	Q8NE09
G3UZ78	Q8N7X0
G3X912	Q9H040
G3X939	P48764
G3X9C2	Q6ZVX7
G3X9J0	O60292
G3X9K3	Q9Y6D6
G3X9R7	Q8N7C7
G3XA57	Q7L804
G3XA59	Q14392
G5E829	P20020
G5E861	Q96NL6
G5E869	P52746
G5E870	Q14669
G5E872	Q9HAU8
G5E897	Q7Z4H8
G5E8A8	Q96M29
G5E8B9	O95625
G5E8F4	O14772
G5E8K5	Q12955
G5E8K6	O15375
G5E8P0	Q96RT7
G5E8Q8	Q8IZF2
G5E8Z2	Q92750
H3BJG9	H3BQJ8
J3KML8	I3L273
J3QMY9	Q8N6T0
J3QNX5	B8ZZ34
J3QPP8	Q6UXT8
J3QPZ5	A6NFT4
J3S6Y1	Q8WU66
L0N7N1	Q15058
O08523	O75443
O08524	Q96PL2
O08528	P52789
O08529	P17655
O08530	P21453
O08532	P54289
O08537	Q92731
O08538	Q15389
O08539	O00499
O08540	P08118
O08542	P52798
O08543	P52803
O08545	P52797
O08547	O75396
O08550	Q9UMN6
O08553	Q16555
O08573	Q3B8N2
O08574	Q0VG99
O08575	O00167
O08576	Q59EK9
O08579	P50402
O08581	O00180
O08582	O00178
O08584	Q99612
O08585	P09496
O08586	P60484
O08599	P61764
O08600	Q14249
O08601	P55157
O08605	Q9BUB5
O08608	O95190
O08609	Q9UH92
O08638	P35749
O08641	Q96HL8
O08644	O15197
O08648	Q9Y6R4
O08650	O00219
O08663	P50579
O08664	Q8WUZ0
O08665	Q14563
O08672	Q96AC6
O08674	Q9UBG7
O08675	O00254
O08677	P01042
O08686	Q9UMQ3
O08688	O15484
O08689	O14793
O08691	P78540
O08696	Q08050
O08705	Q14973
O08707	O00590
O08709	P30041
O08710	P01266
O08712	O00300
O08715	Q92667
O08716	Q0Z7S8
O08717	P58166
O08734	Q16611
O08738	P55212
O08739	Q01432
O08740	P52435
O08742	P40197
O08746	O00339
O08747	O95185
O08749	P09622
O08750	Q16649
O08755	Q9UBC0
O08756	Q99714
O08759	Q05086
O08760	O15527
O08762	P56730
O08784	Q13428
O08785	O15516
O08786	P32238
O08788	Q14203
O08789	Q99583
O08791	Q9H4W6
O08792	Q9HAK2
O08795	P14314
O08796	O00418
O08800	P50452
O08807	Q13162
O08808	O60610
O08810	Q15029
O08811	P18074
O08832	Q8N4A0
O08842	O00451
O08848	P10155
O08849	P41220
O08850	O15539
O08852	P98161
O08856	P55199
O08858	P35346
O08859	P98066
O08863	Q13489
O08899	P49798
O08900	Q9UKT9
O08901	O43683
O08908	O00459
O08911	P53778
O08912	Q10472
O08914	O00519
O08915	O00170
O08917	O75955
O08918	Q16589
O08919	Q9Y6R0
O08934	A6NJT0
O08966	O15245
O08967	O43739
O08969	Q53GA4
O08970	Q9NNX1
O08983	Q92902
O08989	O14807
O08992	O00560
O08997	O00244
O08999	Q14767
O09000	Q9Y6Q9
O09005	O15121
O09008	O00587
O09009	Q9Y644
O09010	Q8NES3
O09012	P50542
O09030	P78552
O09039	Q9UQQ2
O09043	O96009
O09044	O00161
O09046	Q96RQ9
O09047	Q16581
O09049	Q6UW15
O09051	Q16661
O09053	Q14191
O09061	P20618
O09100	P23769
O09101	Q07326
O09102	O75603
O09105	Q9HD90
O09106	Q13547
O09107	P51460
O09108	P01229
O09110	P46734
O09111	Q9NX14
O09112	Q13202
O09113	Q5XKR4
O09114	P41222
O09116	Q9UBC9
O09117	Q16563
O09118	O95631
O09126	Q92854
O09127	P29322
O09130	Q8NCF5
O09131	P78417
O09159	O00754
O09160	P19526
O09161	O14958
O09164	P08294
O09165	P31415
O09167	P46778
O09172	P48507
O09173	Q93099
O09174	Q9UHK6
O09198	P21145
O35047	Q9P2W1
O35054	O14493
O35066	O14782
O35071	O43896
O35074	Q16647
O35075	O14972
O35082	Q9UEF7
O35083	Q99943
O35084	O15528
O35085	Q96QS3
O35089	Q6PI25
O35098	O14531
O35099	Q99683
O35103	Q99983
O35111	O14649
O35114	Q14108
O35118	O60609
O35125	Q53EV4
O35126	P54259
O35127	Q99622
O35129	Q99623
O35130	Q92979
O35134	O95602
O35136	O15394
O35137	Q9H161
O35143	Q9UII2
O35144	Q15554
O35149	O14863
O35153	Q9NYM9
O35160	O75364
O35161	Q9NYQ6
O35166	O14653
O35173	Q96KK3
O35174	Q9ULS6
O35177	Q14511
O35181	P56975
O35182	O43541
O35185	O14503
O35188	P78423
O35205	P49863
O35206	P39059
O35207	O14519
O35214	O14718
O35215	P30046
O35216	P49450
O35218	Q9P2I0
O35219	Q12809
O35226	P55036
O35227	Q9H2U9
O35228	Q14213
O35231	Q9BVG8
O35235	O14788
O35239	P43378
O35242	Q92636
O35245	Q13563
O35250	Q9UPT5
O35253	O15105
O35261	O00716
O35280	O14757
O35284	Q16520
O35286	O43143
O35292	P10153
O35295	Q96QR8
O35298	P28039
O35304	Q16572
O35305	Q9Y6Q6
O35308	O95907
O35309	Q13287
O35310	O14792
O35316	P31641
O35317	P40426
O35324	O14796
O35343	O00629
O35344	O00505
O35345	O60684
O35350	P07384
O35367	O60938
O35368	Q16666
O35372	O95406
O35375	O60462
O35379	P33527
O35382	Q96A65
O35385	O14830
O35386	O14832
O35387	O00165
O35392	O60548
O35393	Q15768
O35400	O00204
O35405	Q8IV08
O35417	P01213
O35423	P21549
O35425	Q9UMX3
O35426	P17861
O35427	O75575
O35435	Q02127
O35437	O43680
O35445	Q99942
O35448	Q9UMR5
O35450	Q9UIM3
O35451	Q99941
O35453	P05981
O35454	P51797
O35457	O00421
O35459	Q13011
O35464	Q9H2E6
O35465	Q14318
O35468	O14905
O35469	P14060
O35473	Q13901
O35474	O43854
O35484	O14977
O35486	P22914
O35488	O14975
O35490	Q93088
O35491	P49760
O35492	P49761
O35493	Q9HAZ1
O35495	O94921
O35516	Q04721
O35526	Q16623
O35536	P48307
O35544	P48664
O35551	Q15276
O35565	O15520
O35566	P48509
O35593	O00487
O35594	Q8WYA0
O35595	Q9Y6C5
O35598	O14672
O35599	P04000
O35600	P78363
O35601	O15117
O35602	Q9Y2V3
O35604	O15118
O35607	Q13873
O35608	O15123
O35609	O14828
O35613	Q9UER7
O35615	Q8IX07
O35618	O15151
O35621	Q92871
O35622	O95750
O35623	O15155
O35625	O15169
O35626	Q9Y272
O35627	Q14994
O35632	Q12891
O35633	Q9H598
O35638	Q8N3U4
O35639	P12429
O35640	P13928
O35640	Q5VT79
O35643	Q10567
O35646	Q9Y6Q1
O35648	O15182
O35652	Q68G74
O35654	P49005
O35655	O14829
O35657	Q99519
O35658	Q07021
O35659	P43220
O35664	P48551
O35668	P54257
O35671	O14713
O35674	Q9H013
O35678	Q99685
O35679	O60575
O35680	O15235
O35681	Q9BQG1
O35682	Q96S97
O35683	O15239
O35684	Q99574
O35685	Q9Y266
O35690	Q99453
O35691	Q9H307
O35696	Q92186
O35701	O15232
O35704	O15269
O35709	O14682
O35710	Q9UK39
O35711	Q8ND30
O35714	Q9Y5U5
O35716	O15524
O35717	O14508
O35718	O14543
O35719	O15315
O35730	Q06587
O35732	O15519
O35737	P31943
O35738	Q9Y4X4
O35739	Q13886
O35740	Q99967
O35841	Q9BZZ5
O35855	O15382
O35857	O43615
O35864	Q92905
O35874	P43007
O35885	Q99929
O35887	O43852
O35900	Q9Y333
O35902	P32926
O35903	O15444
O35904	O00329
O35906	Q01892
O35912	P54852
O35914	Q01954
O35926	Q13319
O35927	Q9UQB3
O35929	O75628
O35930	P07359
O35936	O15296
O35942	P51955
O35943	Q16595
O35949	Q9HB03
O35954	O00562
O35955	P40306
O35963	Q9H082
O35969	Q14353
O35972	
O35972	Q16540
O35973	O15534
O35980	P78549
O35984	P40425
O35988	P31431
O54689	P51684
O54692	O43264
O54707	Q13241
O54714	Q9Y6X2
O54724	Q6NZI2
O54732	P51511
O54734	P39656
O54743	Q12947
O54750	P51589
O54751	O43186
O54754	Q06278
O54774	O14617
O54775	O95388
O54781	P78362
O54782	Q9Y2E5
O54784	O43293
O54785	P53671
O54786	O00273
O54788	O76075
O54790	O15525
O54791	Q9ULX9
O54792	Q9Y543
O54794	O14520
O54798	P32247
O54799	P28336
O54803	O15547
O54804	P35790
O54818	Q16890
O54819	P10646
O54824	Q14005
O54825	Q13895
O54826	P55197
O54827	O60312
O54828	O75916
O54829	P49802
O54833	P19784
O54834	O43182
O54836	Q9HA38
O54839	O95936
O54851	Q9UKL4
O54863	Q96PF2
O54864	O43463
O54865	Q02153
O54885	O43914
O54887	Q9UJT2
O54890	P05106
O54897	Q9NS67
O54901	P41217
O54904	Q9Y5Z6
O54905	O43825
O54907	O43508
O54908	O94907
O54909	O75452
O54910	O00221
O54915	O75469
O54916	Q96D71
O54917	O75461
O54918	O43521
O54926	O15304
O54927	Q9Y6I7
O54928	O75159
O54929	Q9NYS7
O54940	Q12982
O54941	Q969G3
O54942	O00501
O54943	O15055
O54946	O75190
O54949	Q9UBE8
O54950	P54619
O54951	Q9H3T3
O54956	P56282
O54957	O43561
O54962	O75531
O54965	O43567
O54967	Q07912
O54972	O75081
O54974	
O54974	P47929
O54982	A8MYU2
O54983	Q14894
O54984	O43681
O54988	Q9H2G2
O54991	P78357
O54992	Q8IW41
O54998	Q9Y680
O55003	Q12983
O55013	O43617
O55017	Q00975
O55022	O00264
O55023	P29218
O55026	Q9Y5L3
O55028	O14874
O55029	P35606
O55033	O43639
O55038	O43927
O55040	Q9HB89
O55042	P37840
O55047	Q86UE8
O55055	O14717
O55057	O43924
O55060	P51580
O55070	Q13609
O55082	Q4JDL3
O55087	Q02080
O55091	Q9P2X3
O55098	O94804
O55100	O43759
O55101	O43760
O55102	P78537
O55103	Q9BXM0
O55106	O43815
O55111	Q14126
O55123	P09238
O55125	Q9BPW8
O55126	O75323
O55127	O43174
O55128	O00422
O55131	Q16181
O55134	Q9NPG4
O55135	P56537
O55142	P18077
O55143	P16615
O55144	O43711
O55176	Q8NG27
O55183	P52823
O55187	O00257
O55188	Q13316
O55189	Q9NP70
O55192	P23975
O55196	Q9NRM1
O55201	O00267
O55203	O43679
O55208	Q6QHK4
O55222	Q13418
O55225	Q6ZRI0
O55226	O15335
O55229	Q9Y259
O55230	O75771
O55233	O95813
O55234	P28074
O55236	O60942
O55237	P32970
O55239	P40261
O55240	Q92781
O55241	O43612
O55242	Q99720
O70126	Q96GD4
O70131	Q92982
O70133	Q08211
O70137	O95076
O70138	P22894
O70139	Q9Y2B9
O70145	P19878
O70146	Q15569
O70152	O60762
O70157	Q13472
O70161	O60331
O70166	Q9NZ72
O70167	O75747
O70172	P48426
O70174	P43681
O70176	P18509
O70191	Q9Y2D1
O70194	O15371
O70200	P55008
O70201	O15392
O70218	Q9NP08
O70220	Q9C009
O70228	O75110
O70230	P52747
O70237	Q5VTD9
O70250	P15259
O70251	P24534
O70252	P30519
O70255	O60487
O70258	O43556
O70263	Q8TBB1
O70273	Q9NZC4
